client,worker,write_tp_mean,write_tp_std,read_tp_mean,read_tp_std
6,8,2788.8571428571427,59.42418024069756,2760.214285714286,47.76138536488213
6,16,2746.5238095238096,61.594065370690394,2763.404761904762,32.542431397635944
6,32,2659.066666666667,7.4459534125741165,2742.571428571429,28.026656407566005
6,64,2683.0857142857144,16.60418355609885,2707.8714285714286,27.005459261637682
24,8,6285.414285714286,409.995600440971,2960.0333333333333,2.0404192357446287
24,16,6248.8476190476185,410.0720343777233,2962.8714285714286,2.575340939056578
24,32,6349.523809523809,155.1822410474471,2964.523809523809,1.4813733898586625
24,64,6447.314285714286,55.67291137729789,2964.3904761904764,1.9790169116275385
48,8,6616.909523809524,177.1360414715443,2964.047619047619,1.6032421799366567
48,16,7342.052380952381,103.36167024232644,2969.147619047619,0.671715575268883
48,32,7018.214285714286,224.74438904712002,2971.8285714285716,1.4328982095429292
48,64,6621.566666666666,379.3765509257132,2973.961904761905,3.254768000830495
96,8,6886.142857142858,148.00845857424417,2980.4380952380957,19.580124357145145
96,16,7603.966666666667,211.59036484285156,2995.452380952381,18.84429697135646
96,32,7627.3,29.43902957953998,3037.566666666667,22.830488426971122
96,64,7027.757142857143,209.22174579035635,3074.2428571428572,1.4218412896878125
144,8,6938.842857142857,62.360908084655776,3055.461904761905,3.7100769805778957
144,16,7797.85238095238,371.9476465122906,2982.214285714286,111.9956564998389
144,32,7563.571428571428,240.23888451425415,3246.961904761905,130.38684949618948
144,64,6926.9857142857145,425.1048461310242,3248.933333333333,1.7594190960529603
192,8,7016.161904761905,246.38527882887587,3246.4380952380957,1.3774833274709564
192,16,8072.909523809524,296.08566059959446,3349.5857142857144,13.465364994004744
192,32,7488.12380952381,293.12818962964917,3593.6619047619047,223.65407245785656
192,64,7473.742857142857,353.8691850614493,3746.3809523809527,2.6425696969379087
