client,worker,netrecv_mean,netrecv_std
6,8,12442542.24882629,258805.1664281324
6,16,12255805.03286385,273623.6207603757
6,32,11866035.319248825,27219.353279186245
6,64,11977131.07511737,73315.28091852777
24,8,28059132.915492963,1829917.4728559502
24,16,27883176.183098596,1822633.5725053293
24,32,28355991.46948357,697624.1778058498
24,64,28788496.732394367,230135.05627847192
48,8,29559049.478873238,773589.51734969
48,16,32778485.929577466,466561.2365561225
48,32,31317894.69483568,1018995.5065172885
48,64,29568390.084507044,1687442.7882749424
96,8,30413376.807511736,482160.3120711146
96,16,33452466.647887323,918862.7920911781
96,32,33555080.8028169,146222.92941142502
96,64,30928682.028169017,899489.4230166443
144,8,30524315.807511736,271644.50419824495
144,16,34020187.098591544,1212572.024650458
144,32,32972814.71830986,1446673.3767573463
144,64,30466343.544600938,1868649.1015685156
