client,worker,netsend_mean,netsend_std
6,8,391576.92957746476,8226.700247686456
6,16,385585.54929577466,8544.594251116936
6,32,373417.34741784044,896.1127125333702
6,64,376932.06103286386,2319.2900715953824
24,8,880968.7464788733,57396.73234697507
24,16,875375.117370892,57096.87763832685
24,32,890037.5446009389,21934.260040082532
24,64,903811.8450704226,7181.172315149987
48,8,927916.6854460094,24342.453824474982
48,16,1028813.6384976526,14637.05192960275
48,32,983174.8215962442,31827.06275116669
48,64,928112.8215962442,52935.17803592003
96,8,954873.7887323945,15083.849081813472
96,16,1049621.605633803,28672.910624016607
96,32,1053191.3004694835,4727.588914982182
96,64,970916.8075117371,28196.04645777515
144,8,958280.4225352113,8449.795177687176
144,16,1065846.2676056337,37261.579358515504
144,32,1034881.5352112675,45271.4107274615
144,64,956477.4647887325,58535.68402508849
