client,worker,netrecv_mean,netrecv_std
6,8,134096.0224719101,569.0492977130497
6,16,134451.5056179775,2110.8679714905948
6,32,128149.33333333333,1985.9258098558635
6,64,131107.35580524345,1104.3184230976703
24,8,298587.34831460676,17203.238814592587
24,16,299527.92509363295,14542.660858226061
24,32,310925.4382022472,4973.967554901975
24,64,315333.6479400749,4192.635600077304
48,8,308495.94756554306,5841.328019837206
48,16,341869.2696629214,5950.683315876507
48,32,329580.1423220974,3843.8499883053996
48,64,309042.07865168544,18692.45979311215
96,8,317688.9063670412,5090.934138561993
96,16,346415.4606741573,12087.517230816493
96,32,350198.2434456929,11412.59314202606
96,64,325626.0786516854,7757.770526482207
144,8,284397.07865168544,43751.04739849584
144,16,351046.7041198502,5330.659750303689
144,32,334428.2322097378,14259.558546956298
144,64,285290.06367041194,14686.892897592094
192,8,339622.063670412,13382.949607566188
192,16,347159.0411985019,40118.08922895754
192,32,314945.23595505615,13500.917100973269
192,64,310224.5393258427,16445.32434700429
