client,worker,cpu_mean,cpu_std
6,8,8.186539325842697,0.20682305205193333
6,16,8.29314981273408,0.3794890280738375
6,32,8.739573033707863,0.21838303298868247
6,64,9.661228464419475,0.21049543926823666
24,8,17.314644194756553,0.13381467308406414
24,16,22.477977528089884,0.5127987070071206
24,32,24.41749812734082,0.23087685549482154
24,64,25.482486891385772,0.1266328970459879
48,8,18.083887640449436,0.3822879873730475
48,16,24.160539325842695,0.1295780260703837
48,32,26.897520599250935,0.23730093318414677
48,64,28.17023220973783,0.6014978291378487
96,8,18.177029962546815,0.14137245535958073
96,16,24.787947565543075,0.17725732191667098
96,32,27.685790262172286,0.19353496661992992
96,64,29.161400749063674,0.3436210170903645
144,8,18.1073670411985,0.19802589361337142
144,16,24.951857677902623,0.3708286075682336
144,32,27.736509363295884,0.25441373416592933
144,64,29.05288764044944,0.8100749777616814
192,8,18.219164794007487,0.640187270497091
192,16,25.05592509363296,0.5442227111450985
192,32,28.021794007490637,0.276836274659009
192,64,29.954191011235952,0.3520806670517475
