client,worker,netsend_mean,netsend_std
6,8,11807740.16104869,171455.31210691275
6,16,11785196.558052434,95449.43512764909
6,32,11676518.91011236,118114.7818541865
6,64,11567592.146067416,87521.39363612875
24,8,12745220.516853934,2344.875706789468
24,16,12748914.677902622,7567.425257315788
24,32,12761356.831460675,11279.244014226922
24,64,12746337.767790264,23924.907973819594
48,8,12731968.880149813,6248.168236371978
48,16,12749681.808988765,5166.47045572771
48,32,12761220.471910113,1570.3871975056707
48,64,12771520.419475654,4141.544269668056
96,8,12747832.569288388,2887.0587792357537
96,16,12767897.599250937,2570.6861972702927
96,32,12811813.254681647,9738.78900479066
96,64,12823112.868913857,7960.073601612011
144,8,12939346.985018725,4706.826829274054
144,16,12874946.868120732,111573.39411168346
144,32,12964740.917602995,9107.786182257687
144,64,12962068.666666666,4786.418549370446
192,8,12964841.74906367,7045.088745526214
192,16,12977270.449438205,8704.415553273044
192,32,13020959.928838952,25831.88581794259
192,64,13035914.895131087,10660.628123993558
