client,worker,netsend_mean,netsend_std
6,8,3960149.441947566,17079.722073941248
6,16,3971315.179775281,63088.85206322481
6,32,3782760.2172284643,59123.93937880204
6,64,3870795.576779026,33173.86962596801
24,8,8888124.625468165,515501.19105433236
24,16,8915924.258426966,435749.7278299198
24,32,9259233.483146068,149093.22981383192
24,64,9390425.011235954,125441.06881746306
48,8,9186673.82022472,174991.89269487248
48,16,10187105.468164794,178016.47880573903
48,32,9820643.460674157,112905.6820724719
48,64,9213398.951310862,551514.5398149728
96,8,9463830.20599251,152576.0173460762
96,16,10472589.374531835,359435.3363337726
96,32,10597657.805243447,345395.1774048821
96,64,9851797.543071162,236952.6349135112
144,8,8465292.34082397,1311150.0495711835
144,16,10631187.56928839,159212.85856169247
144,32,10121364.734082395,434351.1840169946
144,64,8622424.97378277,444742.5363030743
192,8,10121583.194756554,398517.19039815495
192,16,10520390.344569288,1219693.7637356962
192,32,9531014.123595506,410372.0399392505
192,64,9384240.722846443,501284.4231138742
