client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,3766673.272300469,1248790.9649629337
12,64,1:3,7733392.403755869,15291.17789864648
12,64,1:6,9001209.568075119,83546.42518451749
12,64,1:9,9469589.43661972,148687.68323371708
