client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,9587141.474178404,5384127.064198936
12,64,1:3,7713278.539906103,18223.734933970954
12,64,1:6,4675671.72769953,39560.70933160296
12,64,1:9,3415498.7417840376,51686.202338806754
