client,worker,sharded,netrecv_mean,netrecv_std
12,64,1:1,13736638.192488262,159154.51369920728
12,64,1:3,14433842.3286385,69890.37222762484
12,64,1:6,14701621.704225352,211221.12233347778
12,64,1:9,14882279.09859155,179831.6095965376
