mw,sharded,ratio,rep,latency,weight
2,true,1:6,1,97,16
2,true,1:6,1,98,12
2,true,1:6,1,99,12
2,true,1:6,1,100,8
1,true,1:6,2,1,0
1,true,1:6,2,2,0
1,true,1:6,2,3,0
1,true,1:6,2,4,146
1,true,1:6,2,5,7373
1,true,1:6,2,6,37518
1,true,1:6,2,7,55005
1,true,1:6,2,8,44352
1,true,1:6,2,9,28782
1,true,1:6,2,10,18191
1,true,1:6,2,11,12211
1,true,1:6,2,12,8671
1,true,1:6,2,13,6395
1,true,1:6,2,14,4827
1,true,1:6,2,15,3864
1,true,1:6,2,16,2934
1,true,1:6,2,17,2329
1,true,1:6,2,18,1877
1,true,1:6,2,19,1572
1,true,1:6,2,20,1331
1,true,1:6,2,21,1129
1,true,1:6,2,22,953
1,true,1:6,2,23,839
1,true,1:6,2,24,689
1,true,1:6,2,25,672
1,true,1:6,2,26,591
1,true,1:6,2,27,545
1,true,1:6,2,28,495
1,true,1:6,2,29,463
1,true,1:6,2,30,416
1,true,1:6,2,31,360
1,true,1:6,2,32,362
1,true,1:6,2,33,336
1,true,1:6,2,34,288
1,true,1:6,2,35,307
1,true,1:6,2,36,282
1,true,1:6,2,37,263
1,true,1:6,2,38,207
1,true,1:6,2,39,198
1,true,1:6,2,40,210
1,true,1:6,2,41,193
1,true,1:6,2,42,153
1,true,1:6,2,43,183
1,true,1:6,2,44,193
1,true,1:6,2,45,184
1,true,1:6,2,46,164
1,true,1:6,2,47,162
1,true,1:6,2,48,179
1,true,1:6,2,49,174
1,true,1:6,2,50,122
1,true,1:6,2,51,135
1,true,1:6,2,52,135
1,true,1:6,2,53,121
1,true,1:6,2,54,122
1,true,1:6,2,55,116
1,true,1:6,2,56,117
1,true,1:6,2,57,96
1,true,1:6,2,58,103
1,true,1:6,2,59,108
1,true,1:6,2,60,85
1,true,1:6,2,61,82
1,true,1:6,2,62,90
1,true,1:6,2,63,58
1,true,1:6,2,64,76
1,true,1:6,2,65,65
1,true,1:6,2,66,67
1,true,1:6,2,67,65
1,true,1:6,2,68,47
1,true,1:6,2,69,48
1,true,1:6,2,70,49
1,true,1:6,2,71,41
1,true,1:6,2,72,53
1,true,1:6,2,73,44
1,true,1:6,2,74,46
1,true,1:6,2,75,37
1,true,1:6,2,76,31
1,true,1:6,2,77,27
1,true,1:6,2,78,28
1,true,1:6,2,79,30
1,true,1:6,2,80,26
1,true,1:6,2,81,16
1,true,1:6,2,82,30
1,true,1:6,2,83,19
1,true,1:6,2,84,23
1,true,1:6,2,85,29
1,true,1:6,2,86,24
1,true,1:6,2,87,20
1,true,1:6,2,88,22
1,true,1:6,2,89,15
1,true,1:6,2,90,12
1,true,1:6,2,91,4
1,true,1:6,2,92,6
1,true,1:6,2,93,7
1,true,1:6,2,94,10
1,true,1:6,2,95,7
1,true,1:6,2,96,5
1,true,1:6,2,97,8
1,true,1:6,2,98,8
1,true,1:6,2,99,6
1,true,1:6,2,100,12
2,true,1:6,2,1,0
2,true,1:6,2,2,0
2,true,1:6,2,3,1
2,true,1:6,2,4,1120
2,true,1:6,2,5,26195
2,true,1:6,2,6,66801
2,true,1:6,2,7,61524
2,true,1:6,2,8,37515
2,true,1:6,2,9,21947
2,true,1:6,2,10,13903
2,true,1:6,2,11,9544
2,true,1:6,2,12,7252
2,true,1:6,2,13,5279
2,true,1:6,2,14,4127
2,true,1:6,2,15,3178
2,true,1:6,2,16,2446
2,true,1:6,2,17,2009
2,true,1:6,2,18,1718
2,true,1:6,2,19,1477
2,true,1:6,2,20,1173
2,true,1:6,2,21,1009
2,true,1:6,2,22,890
2,true,1:6,2,23,768
2,true,1:6,2,24,708
2,true,1:6,2,25,603
2,true,1:6,2,26,608
2,true,1:6,2,27,502
2,true,1:6,2,28,463
2,true,1:6,2,29,441
2,true,1:6,2,30,381
2,true,1:6,2,31,357
2,true,1:6,2,32,349
2,true,1:6,2,33,310
2,true,1:6,2,34,271
2,true,1:6,2,35,293
2,true,1:6,2,36,264
2,true,1:6,2,37,250
2,true,1:6,2,38,240
2,true,1:6,2,39,207
2,true,1:6,2,40,195
2,true,1:6,2,41,188
2,true,1:6,2,42,177
2,true,1:6,2,43,185
2,true,1:6,2,44,160
2,true,1:6,2,45,183
2,true,1:6,2,46,202
2,true,1:6,2,47,194
2,true,1:6,2,48,167
2,true,1:6,2,49,123
2,true,1:6,2,50,132
2,true,1:6,2,51,131
2,true,1:6,2,52,141
2,true,1:6,2,53,142
2,true,1:6,2,54,127
2,true,1:6,2,55,140
2,true,1:6,2,56,111
2,true,1:6,2,57,128
2,true,1:6,2,58,116
2,true,1:6,2,59,104
2,true,1:6,2,60,104
2,true,1:6,2,61,107
2,true,1:6,2,62,96
2,true,1:6,2,63,91
2,true,1:6,2,64,89
2,true,1:6,2,65,83
2,true,1:6,2,66,81
2,true,1:6,2,67,73
2,true,1:6,2,68,68
2,true,1:6,2,69,50
2,true,1:6,2,70,60
2,true,1:6,2,71,56
2,true,1:6,2,72,43
2,true,1:6,2,73,36
2,true,1:6,2,74,46
2,true,1:6,2,75,43
2,true,1:6,2,76,49
2,true,1:6,2,77,37
2,true,1:6,2,78,34
2,true,1:6,2,79,24
2,true,1:6,2,80,31
2,true,1:6,2,81,28
2,true,1:6,2,82,29
2,true,1:6,2,83,23
2,true,1:6,2,84,26
2,true,1:6,2,85,18
2,true,1:6,2,86,19
2,true,1:6,2,87,20
2,true,1:6,2,88,25
2,true,1:6,2,89,15
2,true,1:6,2,90,19
2,true,1:6,2,91,11
2,true,1:6,2,92,22
2,true,1:6,2,93,12
2,true,1:6,2,94,19
2,true,1:6,2,95,11
2,true,1:6,2,96,13
2,true,1:6,2,97,12
2,true,1:6,2,98,9
2,true,1:6,2,99,9
2,true,1:6,2,100,5
1,true,1:6,3,1,0
1,true,1:6,3,2,0
1,true,1:6,3,3,0
1,true,1:6,3,4,134
1,true,1:6,3,5,6773
1,true,1:6,3,6,35386
1,true,1:6,3,7,52556
1,true,1:6,3,8,43477
1,true,1:6,3,9,28351
1,true,1:6,3,10,17911
1,true,1:6,3,11,11835
1,true,1:6,3,12,8387
1,true,1:6,3,13,6142
1,true,1:6,3,14,4661
1,true,1:6,3,15,3542
1,true,1:6,3,16,2861
1,true,1:6,3,17,2309
1,true,1:6,3,18,1784
1,true,1:6,3,19,1521
1,true,1:6,3,20,1250
1,true,1:6,3,21,1050
1,true,1:6,3,22,933
1,true,1:6,3,23,774
1,true,1:6,3,24,707
1,true,1:6,3,25,656
1,true,1:6,3,26,568
1,true,1:6,3,27,513
1,true,1:6,3,28,453
1,true,1:6,3,29,455
1,true,1:6,3,30,423
1,true,1:6,3,31,402
1,true,1:6,3,32,371
1,true,1:6,3,33,314
1,true,1:6,3,34,252
1,true,1:6,3,35,297
1,true,1:6,3,36,242
1,true,1:6,3,37,223
1,true,1:6,3,38,251
1,true,1:6,3,39,228
1,true,1:6,3,40,203
1,true,1:6,3,41,242
1,true,1:6,3,42,200
1,true,1:6,3,43,199
1,true,1:6,3,44,219
1,true,1:6,3,45,186
1,true,1:6,3,46,173
1,true,1:6,3,47,180
1,true,1:6,3,48,171
1,true,1:6,3,49,160
1,true,1:6,3,50,141
1,true,1:6,3,51,177
1,true,1:6,3,52,176
1,true,1:6,3,53,155
1,true,1:6,3,54,154
1,true,1:6,3,55,132
1,true,1:6,3,56,128
1,true,1:6,3,57,112
1,true,1:6,3,58,110
1,true,1:6,3,59,115
1,true,1:6,3,60,94
1,true,1:6,3,61,90
1,true,1:6,3,62,71
1,true,1:6,3,63,64
1,true,1:6,3,64,78
1,true,1:6,3,65,66
1,true,1:6,3,66,54
1,true,1:6,3,67,62
1,true,1:6,3,68,60
1,true,1:6,3,69,65
1,true,1:6,3,70,49
1,true,1:6,3,71,44
1,true,1:6,3,72,36
1,true,1:6,3,73,39
1,true,1:6,3,74,45
1,true,1:6,3,75,33
1,true,1:6,3,76,24
1,true,1:6,3,77,27
1,true,1:6,3,78,32
1,true,1:6,3,79,34
1,true,1:6,3,80,28
1,true,1:6,3,81,33
1,true,1:6,3,82,13
1,true,1:6,3,83,23
1,true,1:6,3,84,24
1,true,1:6,3,85,21
1,true,1:6,3,86,22
1,true,1:6,3,87,18
1,true,1:6,3,88,16
1,true,1:6,3,89,10
1,true,1:6,3,90,17
1,true,1:6,3,91,15
1,true,1:6,3,92,8
1,true,1:6,3,93,6
1,true,1:6,3,94,10
1,true,1:6,3,95,7
1,true,1:6,3,96,8
1,true,1:6,3,97,6
1,true,1:6,3,98,10
1,true,1:6,3,99,7
1,true,1:6,3,100,8
2,true,1:6,3,1,0
2,true,1:6,3,2,0
2,true,1:6,3,3,0
2,true,1:6,3,4,1083
2,true,1:6,3,5,25657
2,true,1:6,3,6,65384
2,true,1:6,3,7,59694
2,true,1:6,3,8,37096
2,true,1:6,3,9,21723
2,true,1:6,3,10,13892
2,true,1:6,3,11,9744
2,true,1:6,3,12,7172
2,true,1:6,3,13,5337
2,true,1:6,3,14,4169
2,true,1:6,3,15,3292
2,true,1:6,3,16,2534
2,true,1:6,3,17,2133
2,true,1:6,3,18,1684
2,true,1:6,3,19,1362
2,true,1:6,3,20,1213
2,true,1:6,3,21,1027
2,true,1:6,3,22,860
2,true,1:6,3,23,751
2,true,1:6,3,24,669
2,true,1:6,3,25,615
2,true,1:6,3,26,557
2,true,1:6,3,27,507
2,true,1:6,3,28,457
2,true,1:6,3,29,408
2,true,1:6,3,30,388
2,true,1:6,3,31,335
2,true,1:6,3,32,317
2,true,1:6,3,33,308
2,true,1:6,3,34,296
2,true,1:6,3,35,290
2,true,1:6,3,36,253
2,true,1:6,3,37,241
2,true,1:6,3,38,268
2,true,1:6,3,39,229
2,true,1:6,3,40,209
2,true,1:6,3,41,206
2,true,1:6,3,42,186
2,true,1:6,3,43,175
2,true,1:6,3,44,185
2,true,1:6,3,45,179
2,true,1:6,3,46,188
2,true,1:6,3,47,170
2,true,1:6,3,48,174
2,true,1:6,3,49,151
2,true,1:6,3,50,165
2,true,1:6,3,51,142
2,true,1:6,3,52,156
2,true,1:6,3,53,137
2,true,1:6,3,54,154
2,true,1:6,3,55,135
2,true,1:6,3,56,119
2,true,1:6,3,57,110
2,true,1:6,3,58,120
2,true,1:6,3,59,122
2,true,1:6,3,60,108
2,true,1:6,3,61,108
2,true,1:6,3,62,108
2,true,1:6,3,63,97
2,true,1:6,3,64,80
2,true,1:6,3,65,97
2,true,1:6,3,66,93
2,true,1:6,3,67,64
2,true,1:6,3,68,65
2,true,1:6,3,69,63
2,true,1:6,3,70,67
2,true,1:6,3,71,49
2,true,1:6,3,72,56
2,true,1:6,3,73,47
2,true,1:6,3,74,45
2,true,1:6,3,75,47
2,true,1:6,3,76,38
2,true,1:6,3,77,34
2,true,1:6,3,78,35
2,true,1:6,3,79,29
2,true,1:6,3,80,27
2,true,1:6,3,81,34
2,true,1:6,3,82,23
2,true,1:6,3,83,25
2,true,1:6,3,84,36
2,true,1:6,3,85,26
2,true,1:6,3,86,26
2,true,1:6,3,87,16
2,true,1:6,3,88,20
2,true,1:6,3,89,16
2,true,1:6,3,90,17
2,true,1:6,3,91,21
2,true,1:6,3,92,12
2,true,1:6,3,93,17
2,true,1:6,3,94,12
2,true,1:6,3,95,12
2,true,1:6,3,96,15
2,true,1:6,3,97,17
2,true,1:6,3,98,16
2,true,1:6,3,99,11
2,true,1:6,3,100,6
1,false,1:6,1,1,0
1,false,1:6,1,2,0
1,false,1:6,1,3,0
1,false,1:6,1,4,135
1,false,1:6,1,5,8089
1,false,1:6,1,6,37674
1,false,1:6,1,7,53870
1,false,1:6,1,8,43440
1,false,1:6,1,9,28231
1,false,1:6,1,10,17906
1,false,1:6,1,11,11725
1,false,1:6,1,12,8306
1,false,1:6,1,13,6195
1,false,1:6,1,14,4585
1,false,1:6,1,15,3494
1,false,1:6,1,16,2749
1,false,1:6,1,17,2268
1,false,1:6,1,18,1833
1,false,1:6,1,19,1497
1,false,1:6,1,20,1284
1,false,1:6,1,21,1069
1,false,1:6,1,22,955
1,false,1:6,1,23,816
1,false,1:6,1,24,729
1,false,1:6,1,25,622
1,false,1:6,1,26,607
1,false,1:6,1,27,521
1,false,1:6,1,28,505
1,false,1:6,1,29,399
1,false,1:6,1,30,401
1,false,1:6,1,31,391
1,false,1:6,1,32,391
1,false,1:6,1,33,331
1,false,1:6,1,34,314
1,false,1:6,1,35,278
1,false,1:6,1,36,270
1,false,1:6,1,37,263
1,false,1:6,1,38,260
1,false,1:6,1,39,210
1,false,1:6,1,40,228
1,false,1:6,1,41,207
1,false,1:6,1,42,219
1,false,1:6,1,43,206
1,false,1:6,1,44,171
1,false,1:6,1,45,186
1,false,1:6,1,46,174
1,false,1:6,1,47,193
1,false,1:6,1,48,180
1,false,1:6,1,49,152
1,false,1:6,1,50,145
1,false,1:6,1,51,146
1,false,1:6,1,52,146
1,false,1:6,1,53,151
1,false,1:6,1,54,108
1,false,1:6,1,55,122
1,false,1:6,1,56,110
1,false,1:6,1,57,90
1,false,1:6,1,58,91
1,false,1:6,1,59,92
1,false,1:6,1,60,93
1,false,1:6,1,61,72
1,false,1:6,1,62,75
1,false,1:6,1,63,72
1,false,1:6,1,64,68
1,false,1:6,1,65,54
1,false,1:6,1,66,49
1,false,1:6,1,67,66
1,false,1:6,1,68,60
1,false,1:6,1,69,53
1,false,1:6,1,70,56
1,false,1:6,1,71,48
1,false,1:6,1,72,39
1,false,1:6,1,73,38
1,false,1:6,1,74,35
1,false,1:6,1,75,40
1,false,1:6,1,76,40
1,false,1:6,1,77,30
1,false,1:6,1,78,26
1,false,1:6,1,79,24
1,false,1:6,1,80,28
1,false,1:6,1,81,37
1,false,1:6,1,82,25
1,false,1:6,1,83,22
1,false,1:6,1,84,24
1,false,1:6,1,85,20
1,false,1:6,1,86,21
1,false,1:6,1,87,19
1,false,1:6,1,88,12
1,false,1:6,1,89,16
1,false,1:6,1,90,16
1,false,1:6,1,91,14
1,false,1:6,1,92,14
1,false,1:6,1,93,13
1,false,1:6,1,94,16
1,false,1:6,1,95,8
1,false,1:6,1,96,10
1,false,1:6,1,97,12
1,false,1:6,1,98,14
1,false,1:6,1,99,9
1,false,1:6,1,100,3
2,false,1:6,1,1,0
2,false,1:6,1,2,0
2,false,1:6,1,3,0
2,false,1:6,1,4,1945
2,false,1:6,1,5,33758
2,false,1:6,1,6,72834
2,false,1:6,1,7,59935
2,false,1:6,1,8,34409
2,false,1:6,1,9,20107
2,false,1:6,1,10,13010
2,false,1:6,1,11,8998
2,false,1:6,1,12,6723
2,false,1:6,1,13,5020
2,false,1:6,1,14,3939
2,false,1:6,1,15,2911
2,false,1:6,1,16,2421
2,false,1:6,1,17,2016
2,false,1:6,1,18,1558
2,false,1:6,1,19,1338
2,false,1:6,1,20,1129
2,false,1:6,1,21,959
2,false,1:6,1,22,798
2,false,1:6,1,23,660
2,false,1:6,1,24,670
2,false,1:6,1,25,546
2,false,1:6,1,26,534
2,false,1:6,1,27,478
2,false,1:6,1,28,456
2,false,1:6,1,29,447
2,false,1:6,1,30,410
2,false,1:6,1,31,362
2,false,1:6,1,32,306
2,false,1:6,1,33,348
2,false,1:6,1,34,290
2,false,1:6,1,35,290
2,false,1:6,1,36,264
2,false,1:6,1,37,250
2,false,1:6,1,38,238
2,false,1:6,1,39,254
2,false,1:6,1,40,205
2,false,1:6,1,41,212
2,false,1:6,1,42,229
2,false,1:6,1,43,195
2,false,1:6,1,44,196
2,false,1:6,1,45,190
2,false,1:6,1,46,186
2,false,1:6,1,47,195
2,false,1:6,1,48,150
2,false,1:6,1,49,162
2,false,1:6,1,50,156
2,false,1:6,1,51,125
2,false,1:6,1,52,132
2,false,1:6,1,53,154
2,false,1:6,1,54,135
2,false,1:6,1,55,115
2,false,1:6,1,56,123
2,false,1:6,1,57,115
2,false,1:6,1,58,104
2,false,1:6,1,59,119
2,false,1:6,1,60,106
2,false,1:6,1,61,97
2,false,1:6,1,62,102
2,false,1:6,1,63,98
2,false,1:6,1,64,92
2,false,1:6,1,65,87
2,false,1:6,1,66,80
2,false,1:6,1,67,79
2,false,1:6,1,68,81
2,false,1:6,1,69,70
2,false,1:6,1,70,57
2,false,1:6,1,71,53
2,false,1:6,1,72,51
2,false,1:6,1,73,42
2,false,1:6,1,74,52
2,false,1:6,1,75,38
2,false,1:6,1,76,46
2,false,1:6,1,77,41
2,false,1:6,1,78,41
2,false,1:6,1,79,25
2,false,1:6,1,80,34
2,false,1:6,1,81,26
2,false,1:6,1,82,26
2,false,1:6,1,83,31
2,false,1:6,1,84,22
2,false,1:6,1,85,26
2,false,1:6,1,86,25
2,false,1:6,1,87,15
2,false,1:6,1,88,17
2,false,1:6,1,89,23
2,false,1:6,1,90,23
2,false,1:6,1,91,21
2,false,1:6,1,92,20
2,false,1:6,1,93,18
2,false,1:6,1,94,19
2,false,1:6,1,95,9
2,false,1:6,1,96,24
2,false,1:6,1,97,20
2,false,1:6,1,98,10
2,false,1:6,1,99,12
2,false,1:6,1,100,12
1,false,1:6,2,1,0
1,false,1:6,2,2,0
1,false,1:6,2,3,0
1,false,1:6,2,4,156
1,false,1:6,2,5,8794
1,false,1:6,2,6,41030
1,false,1:6,2,7,55933
1,false,1:6,2,8,43893
1,false,1:6,2,9,28348
1,false,1:6,2,10,17771
1,false,1:6,2,11,11805
1,false,1:6,2,12,8209
1,false,1:6,2,13,6029
1,false,1:6,2,14,4527
1,false,1:6,2,15,3521
1,false,1:6,2,16,2766
1,false,1:6,2,17,2297
1,false,1:6,2,18,1790
1,false,1:6,2,19,1415
1,false,1:6,2,20,1234
1,false,1:6,2,21,1086
1,false,1:6,2,22,906
1,false,1:6,2,23,804
1,false,1:6,2,24,731
1,false,1:6,2,25,666
1,false,1:6,2,26,533
1,false,1:6,2,27,492
1,false,1:6,2,28,437
1,false,1:6,2,29,460
1,false,1:6,2,30,374
1,false,1:6,2,31,383
1,false,1:6,2,32,358
1,false,1:6,2,33,283
1,false,1:6,2,34,302
1,false,1:6,2,35,262
1,false,1:6,2,36,288
1,false,1:6,2,37,246
1,false,1:6,2,38,234
1,false,1:6,2,39,216
1,false,1:6,2,40,213
1,false,1:6,2,41,205
1,false,1:6,2,42,205
1,false,1:6,2,43,199
1,false,1:6,2,44,169
1,false,1:6,2,45,196
1,false,1:6,2,46,175
1,false,1:6,2,47,155
1,false,1:6,2,48,147
1,false,1:6,2,49,166
1,false,1:6,2,50,145
1,false,1:6,2,51,130
1,false,1:6,2,52,136
1,false,1:6,2,53,128
1,false,1:6,2,54,104
1,false,1:6,2,55,102
1,false,1:6,2,56,100
1,false,1:6,2,57,97
1,false,1:6,2,58,95
1,false,1:6,2,59,108
1,false,1:6,2,60,81
1,false,1:6,2,61,65
1,false,1:6,2,62,67
1,false,1:6,2,63,82
1,false,1:6,2,64,68
1,false,1:6,2,65,69
1,false,1:6,2,66,68
1,false,1:6,2,67,54
1,false,1:6,2,68,57
1,false,1:6,2,69,41
1,false,1:6,2,70,60
1,false,1:6,2,71,48
1,false,1:6,2,72,36
1,false,1:6,2,73,34
1,false,1:6,2,74,44
1,false,1:6,2,75,42
1,false,1:6,2,76,39
1,false,1:6,2,77,17
1,false,1:6,2,78,32
1,false,1:6,2,79,27
1,false,1:6,2,80,25
1,false,1:6,2,81,25
1,false,1:6,2,82,15
1,false,1:6,2,83,18
1,false,1:6,2,84,21
1,false,1:6,2,85,16
1,false,1:6,2,86,18
1,false,1:6,2,87,22
1,false,1:6,2,88,16
1,false,1:6,2,89,18
1,false,1:6,2,90,20
1,false,1:6,2,91,18
1,false,1:6,2,92,8
1,false,1:6,2,93,16
1,false,1:6,2,94,8
1,false,1:6,2,95,9
1,false,1:6,2,96,9
1,false,1:6,2,97,8
1,false,1:6,2,98,6
1,false,1:6,2,99,12
1,false,1:6,2,100,2
2,false,1:6,2,1,0
2,false,1:6,2,2,0
2,false,1:6,2,3,0
2,false,1:6,2,4,2208
2,false,1:6,2,5,37345
2,false,1:6,2,6,73963
2,false,1:6,2,7,57669
2,false,1:6,2,8,33504
2,false,1:6,2,9,19982
2,false,1:6,2,10,13059
2,false,1:6,2,11,9239
2,false,1:6,2,12,6922
2,false,1:6,2,13,5231
2,false,1:6,2,14,4023
2,false,1:6,2,15,3214
2,false,1:6,2,16,2417
2,false,1:6,2,17,2024
2,false,1:6,2,18,1530
2,false,1:6,2,19,1303
2,false,1:6,2,20,1136
2,false,1:6,2,21,904
2,false,1:6,2,22,849
2,false,1:6,2,23,712
2,false,1:6,2,24,645
2,false,1:6,2,25,599
2,false,1:6,2,26,511
2,false,1:6,2,27,524
2,false,1:6,2,28,422
2,false,1:6,2,29,418
2,false,1:6,2,30,340
2,false,1:6,2,31,355
2,false,1:6,2,32,300
2,false,1:6,2,33,308
2,false,1:6,2,34,319
2,false,1:6,2,35,290
2,false,1:6,2,36,243
2,false,1:6,2,37,242
2,false,1:6,2,38,244
2,false,1:6,2,39,234
2,false,1:6,2,40,225
2,false,1:6,2,41,215
2,false,1:6,2,42,200
2,false,1:6,2,43,165
2,false,1:6,2,44,182
2,false,1:6,2,45,181
2,false,1:6,2,46,161
2,false,1:6,2,47,170
2,false,1:6,2,48,150
2,false,1:6,2,49,147
2,false,1:6,2,50,132
2,false,1:6,2,51,145
2,false,1:6,2,52,144
2,false,1:6,2,53,145
2,false,1:6,2,54,110
2,false,1:6,2,55,122
2,false,1:6,2,56,126
2,false,1:6,2,57,104
2,false,1:6,2,58,125
2,false,1:6,2,59,103
2,false,1:6,2,60,117
2,false,1:6,2,61,103
2,false,1:6,2,62,103
2,false,1:6,2,63,108
2,false,1:6,2,64,80
2,false,1:6,2,65,81
2,false,1:6,2,66,85
2,false,1:6,2,67,60
2,false,1:6,2,68,79
2,false,1:6,2,69,65
2,false,1:6,2,70,58
2,false,1:6,2,71,51
2,false,1:6,2,72,37
2,false,1:6,2,73,36
2,false,1:6,2,74,27
2,false,1:6,2,75,33
2,false,1:6,2,76,37
2,false,1:6,2,77,25
2,false,1:6,2,78,38
2,false,1:6,2,79,29
2,false,1:6,2,80,37
2,false,1:6,2,81,34
2,false,1:6,2,82,22
2,false,1:6,2,83,26
2,false,1:6,2,84,26
