PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=0.865 ms
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=2.74 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=6.66 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=5.51 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=2.38 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=9.42 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=5.47 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=1.20 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=4.92 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=11.9 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=0.795 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=3.99 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=7.93 ms
64 bytes from 10.0.0.8: icmp_seq=14 ttl=64 time=0.804 ms
64 bytes from 10.0.0.8: icmp_seq=15 ttl=64 time=7.09 ms
64 bytes from 10.0.0.8: icmp_seq=16 ttl=64 time=0.706 ms
64 bytes from 10.0.0.8: icmp_seq=17 ttl=64 time=0.680 ms
64 bytes from 10.0.0.8: icmp_seq=18 ttl=64 time=1.20 ms
64 bytes from 10.0.0.8: icmp_seq=19 ttl=64 time=7.77 ms
64 bytes from 10.0.0.8: icmp_seq=20 ttl=64 time=2.42 ms
64 bytes from 10.0.0.8: icmp_seq=21 ttl=64 time=4.71 ms
64 bytes from 10.0.0.8: icmp_seq=22 ttl=64 time=0.877 ms
64 bytes from 10.0.0.8: icmp_seq=23 ttl=64 time=6.61 ms
64 bytes from 10.0.0.8: icmp_seq=24 ttl=64 time=1.37 ms
64 bytes from 10.0.0.8: icmp_seq=25 ttl=64 time=0.942 ms
64 bytes from 10.0.0.8: icmp_seq=26 ttl=64 time=1.49 ms
64 bytes from 10.0.0.8: icmp_seq=27 ttl=64 time=3.73 ms
64 bytes from 10.0.0.8: icmp_seq=28 ttl=64 time=2.77 ms
64 bytes from 10.0.0.8: icmp_seq=29 ttl=64 time=4.74 ms
64 bytes from 10.0.0.8: icmp_seq=30 ttl=64 time=1.17 ms
64 bytes from 10.0.0.8: icmp_seq=31 ttl=64 time=0.616 ms
64 bytes from 10.0.0.8: icmp_seq=32 ttl=64 time=1.01 ms
64 bytes from 10.0.0.8: icmp_seq=33 ttl=64 time=5.27 ms
64 bytes from 10.0.0.8: icmp_seq=34 ttl=64 time=0.678 ms
64 bytes from 10.0.0.8: icmp_seq=35 ttl=64 time=0.853 ms
64 bytes from 10.0.0.8: icmp_seq=36 ttl=64 time=4.78 ms
64 bytes from 10.0.0.8: icmp_seq=37 ttl=64 time=0.528 ms
64 bytes from 10.0.0.8: icmp_seq=38 ttl=64 time=0.657 ms
64 bytes from 10.0.0.8: icmp_seq=39 ttl=64 time=0.579 ms
64 bytes from 10.0.0.8: icmp_seq=40 ttl=64 time=0.846 ms
64 bytes from 10.0.0.8: icmp_seq=41 ttl=64 time=0.566 ms
64 bytes from 10.0.0.8: icmp_seq=42 ttl=64 time=2.07 ms
64 bytes from 10.0.0.8: icmp_seq=43 ttl=64 time=1.54 ms
64 bytes from 10.0.0.8: icmp_seq=44 ttl=64 time=1.59 ms
64 bytes from 10.0.0.8: icmp_seq=45 ttl=64 time=1.27 ms
64 bytes from 10.0.0.8: icmp_seq=46 ttl=64 time=1.18 ms
64 bytes from 10.0.0.8: icmp_seq=47 ttl=64 time=0.945 ms
64 bytes from 10.0.0.8: icmp_seq=48 ttl=64 time=0.762 ms
64 bytes from 10.0.0.8: icmp_seq=49 ttl=64 time=0.713 ms
64 bytes from 10.0.0.8: icmp_seq=50 ttl=64 time=0.586 ms

--- 10.0.0.8 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9888ms
rtt min/avg/max/mdev = 0.528/2.801/11.922/2.718 ms
