client,worker,netrecv_mean,netrecv_std
12,8,20281159.79661017,1400676.461219888
12,16,21023382.63841808,263438.6357849548
12,32,21393400.581920907,250170.26811462585
12,64,21435028.367231637,333731.3569004819
24,8,24424475.649717513,101070.50642438178
24,16,30172249.706214685,2531198.851496472
24,32,28664890.943502825,1776946.0199727558
24,64,29532586.451977402,711808.065950099
48,8,25304058.723163843,320010.80679720244
48,16,38501907.406779654,899764.2324536141
48,32,34197844.56497175,783658.5397301331
48,64,33295113.6779661,766317.5215254592
96,8,25061866.45762712,143596.9049712013
96,16,39250353.497175135,763312.571297032
96,32,37812306.971751414,924759.9380739683
96,64,36196928.23728814,437414.09717778093
144,8,24613208.16384181,1001407.7892522371
144,16,39239763.38983051,739617.9921368826
144,32,36260968.09039548,847692.499107471
144,64,35671659.666666664,1904330.1930646868
192,8,24805069.04519774,152572.24705332087
192,16,39165799.75141242,492783.75646462844
192,32,35932364.72316384,318869.24883323297
192,64,37139836.40677966,589258.9283474026
