client,worker,write_tp_mean,write_tp_std,read_tp_mean,read_tp_std
12,8,4519.473333333333,337.30295149744666,2967.153333333333,2.8167869796788154
12,16,4705.053333333333,62.07252979825762,2968.626666666667,2.1480895905172557
12,32,4787.32,58.65774799632153,2963.633333333333,5.0853799158853255
12,64,4795.03,76.12326626378199,2906.4500000000003,88.62107687602689
24,8,5473.673333333333,26.02390482272456,2977.4833333333336,2.096065096529371
24,16,6750.346666666667,568.3337795306162,2979.1566666666663,4.104585511622524
24,32,6415.5,397.07220930203636,2979.6666666666665,2.6530150562876944
24,64,6603.923333333333,164.448359135086,2978.67,1.6903845716285444
48,8,5637.660000000001,108.38752357474873,2961.4733333333334,22.13863942421833
48,16,8607.800000000001,126.43006920823937,2994.4833333333336,20.925025421463474
48,32,7646.403333333333,173.10005456061762,2964.4300000000003,23.4529827527332
48,64,7446.666666666667,169.19414811262095,2998.2233333333334,20.545283860022213
96,8,4483.763333333333,1755.729481522962,3001.726666666667,22.93644310311059
96,16,8837.43,182.22534693797868,2987.33,27.324066315246462
96,32,6977.18,2386.4387744642995,3017.9466666666667,31.19070089341094
96,64,8205.286666666667,48.63030696546677,3021.5166666666664,8.008933900477869
144,8,4409.4766666666665,1649.1279387670995,3003.3866666666668,14.895579508326916
144,16,7187.363333333334,1444.783514356236,3013.276666666667,13.118092679789992
144,32,7628.576666666668,947.5563654415968,3026.83,23.1475283057753
144,64,5662.536666666667,1762.1008930881972,3058.17,6.808715003581767
192,8,4382.076666666667,1724.9958534700565,3184.226666666667,51.92032121968785
192,16,1130.98,1599.447254772723,3160.223333333334,13.4616550080426
192,32,6535.143333333333,2409.871382243367,3169.7533333333336,71.16099790069164
192,64,3707.726666666667,210.5666995409188,3232.0433333333335,36.39509979226444
