client,worker,netsend_mean,netsend_std
12,8,637105.5536723164,43240.05238090208
12,16,661244.3107344633,8486.568132924758
12,32,672728.8079096045,7622.4437160791385
12,64,674201.649717514,10720.875386292915
24,8,768174.581920904,3200.1231712067047
24,16,948087.4293785311,79459.56981842566
24,32,900916.186440678,55939.07378588767
24,64,928529.5988700566,22541.774587486838
48,8,795493.9774011299,9964.550615917267
48,16,1209755.5706214688,27986.885415104945
48,32,1074196.6327683616,24299.399195426766
48,64,1045864.4632768361,23598.115443387167
96,8,787688.2598870057,4706.891252465538
96,16,1231865.6101694915,23938.68750577174
96,32,1187278.9435028248,28929.296828762905
96,64,1136896.7062146894,13739.092872667126
144,8,775405.2598870057,28727.04329753197
144,16,1231834.1299435028,24236.594480537973
144,32,1138244.2881355933,25993.108050210758
144,64,1120283.2711864407,59654.170813057746
192,8,779464.1525423728,5059.698828278545
192,16,1229128.02259887,15872.140237212026
192,32,1127109.1581920905,10176.273567313914
192,64,1165940.4971751412,18575.616318544468
