client,worker,netrecv_mean,netrecv_std
12,8,19643482.231638417,1335318.3670020436
12,16,20389478.581920903,261691.56732558899
12,32,20742105.01694915,237459.9846439319
12,64,20793114.649717513,331436.96898474405
24,8,23694856.491525423,99469.68515371547
24,16,29253198.98305085,2454889.4564166525
24,32,27794902.322033897,1728128.1317182994
24,64,28651454.09039548,695914.4186780071
48,8,24537785.96045198,309005.35222406336
48,16,37340043.096045196,864962.4133137189
48,32,33150523.096045196,752073.4592107717
48,64,32275522.581920903,730660.797295744
96,8,24294900.70056497,146060.68305752653
96,16,38023245.68361582,740029.2639578461
96,32,36645167.28248587,893862.1255087255
96,64,35088982.42937853,423605.08083711413
144,8,23916028.384180788,888259.4264716665
144,16,38022393.53672317,749411.8539988786
144,32,35129336.084745765,803499.3712191884
144,64,34576297.36158192,1842617.136513664
192,8,24042476.440677967,156701.63012792615
192,16,37937221.79096045,491530.7935228278
192,32,34787881.90960452,313104.97367860156
192,64,35984795.46327684,575410.8370446789
