client,worker,netrecv_mean,netrecv_std
12,8,4448989.661016949,19126.792810638897
12,16,4418253.802259888,6524.561330969898
12,32,4395351.056497175,7814.176049503265
12,64,4335748.661016949,163161.22279755396
24,8,4339023.124293785,9404.792749954715
24,16,4367627.6610169485,58962.15567086213
24,32,4350930.836158193,39784.77507655
24,64,4314680.937853107,20151.06196579214
48,8,4273822.333333333,8575.879852534414
48,16,4267861.468926554,5380.607336967433
48,32,4273613.768361582,38869.08928164232
48,64,4232466.242937853,13829.52408375942
96,8,4269482.225988701,23775.937478074018
96,16,4266389.107344634,22235.153358561358
96,32,4239837.3276836155,12006.636658751424
96,64,4233071.395480226,12538.383061864826
144,8,4311124.13559322,12080.304595544565
144,16,4290245.401129943,14274.290403037598
144,32,4279297.1129943505,29223.03139237105
144,64,4298039.401129943,32503.744930989156
192,8,4253541.02259887,23072.397353814005
192,16,4314185.463276836,10628.69715546117
192,32,4244804.768361582,42604.10714002979
192,64,4228939.689265537,57758.222564920856
