client,worker,netsend_mean,netsend_std
12,8,12715924.644067796,15159.180908982988
12,16,12722793.581920905,8547.345668212793
12,32,12706361.231638417,17316.797263450742
12,64,12448599.344632769,382285.8053127957
24,8,12749351.621468926,6076.96141483612
24,16,12746814.542372882,12659.043532575659
24,32,12757227.429378532,12948.851922275315
24,64,12755432.395480225,7022.263037458382
48,8,12744858.553672316,8371.144236876104
48,16,12743416.768361583,10720.338471461346
48,32,12763080.587570623,3370.4371353937972
48,64,12766112.988700563,9906.314686688525
96,8,12751894.141242938,3371.8953882508576
96,16,12772481.779661017,4208.527465213391
96,32,12793027.988700563,11953.947852641475
96,64,12825938.90960452,4022.7306925887033
144,8,12944179.146892654,3405.1807900656413
144,16,12938264.056497173,5009.130721201554
144,32,12947227.02259887,17793.528621142705
144,64,12954539.649717512,4536.4791272989505
192,8,12950761.288135594,4695.606799361413
192,16,12976975.983050847,5879.008609988906
192,32,12959137.508474575,5818.990720039494
192,64,12974772.55367232,13438.518264614975
