client,worker,netsend_mean,netsend_std
12,8,19681893.74576271,1358879.0833838778
12,16,20403014.85875706,256129.11489503668
12,32,20760587.649717513,243023.5438467048
12,64,20804885.796610165,323346.71159376873
24,8,23701255.25423729,98046.1565412998
24,16,29277932.327683616,2456790.786901708
24,32,27814985.86440678,1725957.0085949237
24,64,28658823.76836158,691015.8256127934
48,8,24555271.067796614,310384.27739993436
48,16,37357036.80790961,873763.3191855142
48,32,33181097.47457627,760535.833618551
48,64,32308341.02824859,744658.959287315
96,8,24317822.231638417,138852.4657077522
96,16,38060493.86440678,748586.5915580841
96,32,36677110.61016949,894996.106051094
96,64,35123880.77966102,422729.17096538626
144,8,23880061.265536726,968835.0388302963
144,16,38031516.576271184,731536.4566530094
144,32,35159141.09039548,816541.5340735175
144,64,34610496.0338983,1848714.797743544
192,8,24058847.468926553,148754.48996868092
192,16,37955498.824858755,491099.54537532775
192,32,34819590.84180791,315664.07563092926
192,64,36038642.3559322,574175.8445939391
