client,worker,netrecv_mean,netrecv_std
12,8,13102802.412429377,15702.352094111193
12,16,13109874.361581922,8693.277661201648
12,32,13092753.757062146,17656.0897684989
12,64,12826844.43502825,394080.08577301493
24,8,13137335.096045198,6670.67778976899
24,16,13134542.966101697,13109.66102493306
24,32,13145873.38418079,13883.68502032617
24,64,13143034.016949153,7682.566643569332
48,8,13133123.276836159,8644.356592653423
48,16,13130930.056497177,11232.573603463568
48,32,13149395.09039548,5955.352454063992
48,64,13153447.802259887,8791.51589394881
96,8,13131584.649717515,4442.365570933083
96,16,13139330.389830507,6298.768191408753
96,32,13137846.51977401,11900.109346729547
96,64,13165685.491525425,4264.964595453851
144,8,13130914.604519775,4776.465270268877
144,16,13131144.553672316,4943.086718739196
144,32,13135006.51977401,12091.198156026405
144,64,13150139.79661017,2607.925701770627
192,8,13134892.824858757,4623.456963783326
192,16,13151458.350282485,7359.544269172892
192,32,13142856.768361583,5249.527809508045
192,64,13177600.220338983,29335.986131735415
