client,worker,netsend_mean,netsend_std
12,8,156844.02824858754,701.1633981829883
12,16,155749.66666666666,222.51734418629576
12,32,154955.84745762713,280.6072169901387
12,64,152831.2711864407,5721.443212007742
24,8,153029.70056497175,331.76961774044054
24,16,154001.10734463276,2050.617381749711
24,32,153390.59887005648,1416.0382125991487
24,64,152208.18644067796,744.0979458005163
48,8,150772.84180790963,310.1671249125065
48,16,150498.93220338985,208.30531137791814
48,32,150771.186440678,1382.7114740928205
48,64,149340.604519774,454.6478485113039
96,8,150317.49717514124,806.8087197840167
96,16,150211.32768361582,791.6372345486719
96,32,148957.604519774,377.0856605478998
96,64,148569.57627118644,385.68180121167967
144,8,149410.02259887007,267.7773465621444
144,16,148467.76836158193,93.94832575494446
144,32,149099.1129943503,1045.0335338716452
144,64,150219.2429378531,1051.3900928419118
192,8,151219.1242937853,720.1878293167723
192,16,152772.6836158192,1101.172858865773
192,32,150491.98870056498,1212.7104747044525
192,64,150023.41807909604,2078.3640988672323
