client,worker,netrecv_mean,netrecv_std
12,8,444450.1073446328,395.7428406517136
12,16,444731.71186440677,343.3244004903327
12,32,444085.5988700565,645.117531747475
12,64,435588.615819209,13274.449432707848
24,8,445840.94915254234,320.84377499297227
24,16,450939.2782238081,7834.214832950477
24,32,446211.2316384181,282.7828875863778
24,64,446251.5141242938,295.2908545059032
48,8,445620.1525423729,169.0345268371054
48,16,445715.8983050848,373.9572483004685
48,32,446243.4293785311,117.93430178352044
48,64,446598.0564971751,335.49424161941806
96,8,444906.68361581926,66.93953350526799
96,16,445170.46327683615,239.85154419868115
96,32,445226.6949152542,366.46487975185636
96,64,458305.92655367235,15869.551222884913
144,8,444643.05084745766,279.5739282307327
144,16,444356.6384180791,216.46712885521572
144,32,447002.8926553672,2184.5675393038696
144,64,449898.6949152543,143.80914435125703
192,8,455503.80790960457,100.27691462203462
192,16,455929.23163841804,15.131928579547532
192,32,455768.4576271186,221.13029527468228
192,64,457172.0056497175,487.7837825769706
