latency,weight
1,0
2,0
3,0
4,0
5,7
6,96
7,423
8,971
9,1542
10,1715
11,1650
12,1422
13,981
14,679
15,463
16,332
17,241
18,159
19,116
20,111
21,82
22,76
23,64
24,53
25,58
26,49
27,45
28,44
29,37
30,47
31,39
32,32
33,37
34,35
35,38
36,22
37,47
38,37
39,23
40,32
41,34
42,25
43,47
44,35
45,29
46,24
47,33
48,35
49,29
50,40
51,39
52,35
53,29
54,25
55,27
56,31
57,31
58,27
59,31
60,21
61,23
62,25
63,32
64,41
65,39
66,29
67,40
68,32
69,46
70,43
71,54
72,35
73,49
74,40
75,29
76,41
77,36
78,33
79,50
80,57
81,53
82,46
83,40
84,47
85,45
86,98
87,60
88,54
89,52
90,54
91,73
92,65
93,60
94,90
95,85
96,107
97,96
98,96
99,120
100,125
101,160
102,139
103,160
104,124
105,149
106,149
107,138
108,170
109,160
110,155
111,162
112,174
113,195
114,183
115,227
116,259
117,254
118,288
119,294
120,341
121,294
122,323
123,318
124,296
125,321
126,299
127,358
128,415
129,506
130,609
131,768
132,896
133,963
134,933
135,773
136,537
137,345
138,203
139,93
140,67
141,37
142,28
143,24
144,20
145,16
146,13
147,16
148,18
149,16
150,9
151,15
152,7
153,3
154,2
155,3
156,8
157,7
158,5
159,5
160,5
161,7
162,8
163,6
164,6
165,5
166,2
167,4
168,0
169,3
170,2
171,0
172,1
173,1
174,3
175,2
176,1
177,4
178,2
179,2
180,5
181,0
182,3
183,4
184,3
185,3
186,0
187,0
188,4
189,0
190,1
191,3
192,0
193,0
194,0
195,1
196,0
197,2
198,1
199,0
200,0
