latency,weight
1,0
2,0
3,51
4,3389
5,14728
6,21222
7,18957
8,14032
9,9420
10,6331
11,4230
12,2753
13,1867
14,1349
15,947
16,676
17,524
18,433
19,303
20,287
21,266
22,226
23,222
24,159
25,166
26,170
27,124
28,135
29,143
30,125
31,100
32,104
33,102
34,109
35,86
36,83
37,83
38,73
39,69
40,83
41,82
42,82
43,76
44,73
45,61
46,76
47,71
48,69
49,64
50,57
51,51
52,62
53,44
54,37
55,38
56,30
57,37
58,35
59,23
60,30
61,39
62,31
63,33
64,27
65,37
66,28
67,29
68,21
69,28
70,23
71,16
72,18
73,18
74,10
75,17
76,16
77,8
78,11
79,9
80,6
81,4
82,9
83,3
84,2
85,3
86,4
87,2
88,1
89,1
90,4
91,3
92,5
93,1
94,4
95,1
96,2
97,1
98,2
99,4
100,1
101,0
102,1
103,4
104,2
105,2
106,1
107,0
108,0
109,1
110,3
111,2
112,0
113,1
114,0
115,1
116,0
117,2
118,0
119,0
120,1
121,3
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
