latency,weight
1,0
2,0
3,0
4,0
5,31
6,258
7,907
8,1809
9,2361
10,2167
11,1867
12,1379
13,878
14,553
15,432
16,264
17,199
18,155
19,137
20,95
21,96
22,83
23,72
24,67
25,57
26,35
27,40
28,57
29,55
30,56
31,39
32,46
33,36
34,37
35,36
36,33
37,36
38,32
39,26
40,39
41,41
42,38
43,40
44,40
45,44
46,42
47,35
48,42
49,46
50,40
51,35
52,37
53,41
54,40
55,38
56,36
57,30
58,40
59,40
60,29
61,40
62,36
63,41
64,36
65,33
66,39
67,43
68,61
69,60
70,54
71,58
72,53
73,43
74,48
75,39
76,46
77,48
78,61
79,53
80,59
81,55
82,46
83,52
84,47
85,50
86,66
87,70
88,73
89,64
90,68
91,68
92,74
93,67
94,98
95,82
96,90
97,105
98,116
99,117
100,136
101,113
102,130
103,149
104,169
105,175
106,188
107,206
108,189
109,161
110,181
111,193
112,218
113,210
114,230
115,218
116,262
117,252
118,312
119,347
120,321
121,335
122,370
123,329
124,338
125,400
126,368
127,352
128,323
129,417
130,562
131,750
132,759
133,658
134,680
135,616
136,446
137,254
138,125
139,80
140,40
141,22
142,20
143,11
144,15
145,17
146,17
147,9
148,5
149,12
150,13
151,9
152,6
153,5
154,4
155,4
156,5
157,10
158,0
159,5
160,5
161,2
162,14
163,1
164,4
165,5
166,5
167,1
168,4
169,0
170,1
171,1
172,2
173,0
174,1
175,3
176,2
177,1
178,1
179,3
180,2
181,0
182,2
183,0
184,2
185,1
186,0
187,1
188,1
189,1
190,2
191,2
192,0
193,0
194,2
195,2
196,2
197,1
198,0
199,0
200,0
