latency,weight
1,0
2,0
3,0
4,5
5,236
6,901
7,1832
8,2647
9,3154
10,3504
11,3415
12,3195
13,2851
14,2376
15,1877
16,1527
17,1185
18,920
19,782
20,547
21,507
22,398
23,291
24,236
25,231
26,182
27,136
28,151
29,131
30,110
31,96
32,115
33,106
34,94
35,113
36,116
37,145
38,159
39,175
40,170
41,175
42,133
43,119
44,111
45,101
46,113
47,89
48,83
49,76
50,86
51,81
52,95
53,73
54,97
55,108
56,90
57,102
58,91
59,80
60,58
61,57
62,62
63,48
64,62
65,74
66,66
67,64
68,51
69,70
70,59
71,57
72,55
73,59
74,68
75,60
76,62
77,59
78,64
79,91
80,67
81,85
82,74
83,80
84,87
85,80
86,63
87,79
88,69
89,91
90,96
91,103
92,106
93,97
94,109
95,95
96,90
97,93
98,107
99,105
100,72
101,92
102,85
103,107
104,91
105,97
106,93
107,87
108,91
109,108
110,113
111,106
112,117
113,95
114,111
115,116
116,113
117,124
118,101
119,133
120,119
121,128
122,113
123,137
124,146
125,147
126,143
127,133
128,104
129,106
130,127
131,116
132,122
133,102
134,85
135,103
136,91
137,93
138,84
139,74
140,61
141,55
142,39
143,39
144,26
145,21
146,20
147,28
148,23
149,40
150,50
151,63
152,70
153,50
154,44
155,24
156,15
157,13
158,14
159,7
160,4
161,7
162,3
163,5
164,6
165,2
166,5
167,2
168,0
169,5
170,1
171,1
172,1
173,1
174,1
175,2
176,0
177,2
178,5
179,2
180,2
181,1
182,0
183,2
184,0
185,3
186,0
187,0
188,0
189,0
190,0
191,2
192,0
193,0
194,3
195,2
196,2
197,0
198,2
199,2
200,1
