latency,weight
1,0
2,0
3,0
4,0
5,16
6,275
7,959
8,1963
9,3055
10,3771
11,3850
12,3237
13,2515
14,1961
15,1316
16,893
17,626
18,476
19,380
20,285
21,224
22,225
23,196
24,180
25,164
26,140
27,129
28,127
29,125
30,127
31,128
32,102
33,82
34,85
35,116
36,120
37,105
38,96
39,108
40,118
41,116
42,116
43,128
44,110
45,115
46,120
47,120
48,151
49,147
50,155
51,153
52,129
53,171
54,181
55,146
56,191
57,170
58,179
59,157
60,176
61,147
62,134
63,131
64,127
65,104
66,118
67,103
68,131
69,130
70,141
71,168
72,154
73,171
74,131
75,143
76,122
77,100
78,125
79,106
80,141
81,141
82,113
83,115
84,129
85,165
86,122
87,136
88,143
89,172
90,191
91,180
92,240
93,249
94,237
95,300
96,257
97,284
98,323
99,370
100,395
101,417
102,444
103,428
104,428
105,471
106,465
107,416
108,376
109,391
110,373
111,313
112,263
113,232
114,160
115,182
116,133
117,167
118,122
119,95
120,73
121,49
122,44
123,32
124,29
125,20
126,24
127,16
128,22
129,22
130,7
131,15
132,10
133,6
134,7
135,5
136,11
137,7
138,3
139,7
140,5
141,5
142,5
143,1
144,2
145,3
146,5
147,3
148,6
149,1
150,4
151,5
152,3
153,5
154,3
155,0
156,3
157,3
158,3
159,1
160,1
161,0
162,3
163,1
164,2
165,1
166,0
167,0
168,1
169,4
170,4
171,9
172,1
173,0
174,0
175,2
176,2
177,2
178,2
179,0
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,1
200,0
