latency,weight
1,0
2,0
3,0
4,1
5,124
6,639
7,1627
8,2494
9,3053
10,3439
11,3398
12,3043
13,2602
14,2389
15,1860
16,1482
17,1225
18,1047
19,824
20,627
21,470
22,443
23,354
24,264
25,206
26,179
27,225
28,133
29,146
30,122
31,109
32,99
33,84
34,94
35,75
36,110
37,125
38,118
39,107
40,106
41,92
42,86
43,107
44,95
45,99
46,103
47,107
48,93
49,91
50,83
51,93
52,91
53,86
54,89
55,89
56,85
57,95
58,99
59,103
60,77
61,84
62,92
63,86
64,74
65,79
66,52
67,81
68,59
69,50
70,75
71,76
72,58
73,59
74,65
75,73
76,67
77,62
78,72
79,64
80,69
81,62
82,60
83,87
84,66
85,61
86,71
87,90
88,71
89,87
90,103
91,96
92,78
93,94
94,91
95,95
96,75
97,89
98,86
99,87
100,82
101,93
102,82
103,95
104,91
105,82
106,77
107,79
108,91
109,92
110,95
111,94
112,92
113,91
114,85
115,100
116,93
117,109
118,117
119,115
120,153
121,121
122,151
123,138
124,144
125,118
126,123
127,134
128,128
129,114
130,119
131,93
132,76
133,104
134,116
135,107
136,97
137,81
138,104
139,51
140,63
141,33
142,36
143,30
144,33
145,23
146,20
147,23
148,37
149,53
150,69
151,71
152,60
153,45
154,31
155,27
156,16
157,8
158,8
159,2
160,4
161,11
162,5
163,1
164,3
165,4
166,2
167,2
168,0
169,4
170,3
171,3
172,2
173,3
174,0
175,2
176,1
177,3
178,0
179,1
180,3
181,0
182,0
183,1
184,1
185,2
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,2
196,1
197,0
198,1
199,1
200,0
