latency,weight
1,0
2,0
3,0
4,0
5,89
6,685
7,1698
8,2337
9,2448
10,2227
11,1895
12,1516
13,1251
14,957
15,779
16,604
17,408
18,340
19,304
20,260
21,230
22,214
23,173
24,143
25,156
26,99
27,97
28,96
29,53
30,77
31,41
32,49
33,57
34,46
35,45
36,59
37,74
38,111
39,141
40,228
41,191
42,162
43,139
44,112
45,98
46,86
47,80
48,54
49,56
50,49
51,45
52,60
53,35
54,53
55,48
56,49
57,39
58,38
59,30
60,34
61,50
62,48
63,36
64,52
65,72
66,78
67,77
68,66
69,54
70,56
71,62
72,58
73,42
74,52
75,50
76,44
77,69
78,66
79,71
80,95
81,99
82,89
83,66
84,61
85,58
86,44
87,58
88,41
89,66
90,50
91,66
92,52
93,68
94,59
95,70
96,59
97,50
98,50
99,34
100,38
101,55
102,64
103,51
104,75
105,88
106,116
107,124
108,121
109,121
110,112
111,73
112,84
113,76
114,70
115,71
116,68
117,68
118,74
119,76
120,89
121,75
122,96
123,103
124,101
125,101
126,112
127,118
128,96
129,79
130,78
131,84
132,78
133,100
134,78
135,110
136,107
137,93
138,85
139,102
140,73
141,57
142,49
143,42
144,36
145,37
146,37
147,57
148,82
149,154
150,217
151,303
152,318
153,225
154,180
155,107
156,82
157,50
158,35
159,33
160,20
161,28
162,13
163,10
164,7
165,12
166,5
167,12
168,9
169,6
170,6
171,6
172,8
173,0
174,4
175,3
176,4
177,9
178,11
179,8
180,9
181,6
182,5
183,0
184,3
185,0
186,2
187,4
188,6
189,1
190,4
191,5
192,5
193,7
194,11
195,13
196,22
197,10
198,3
199,10
200,6
