client,worker,write_netthreadTime,write_queueTime,write_workerPreTime,write_memcachedRTT,write_workerPostTime
6,8,0.02246664256721596,0.07197835472302558,0.010579736802168943,0.9762623829033455,0.02533320354329366
6,16,0.023057655590805855,0.06869652123730774,0.011440865866929438,0.9688082230778559,0.02699194779237045
6,32,0.023857647080530002,0.07210017310494393,0.012080468647284065,0.9781995735668509,0.02670057171902003
6,64,0.022699281202608113,0.07071249342616691,0.01035006635936014,0.9565846459614091,0.023297084095173632
24,8,0.01952914259450842,0.5189900035094872,0.00929574822515815,1.6037104159878872,0.028371216525617766
24,16,0.021308611337771097,0.1170522055138928,0.012564958808080477,1.9170030685831827,0.030567831403511672
24,32,0.01966592308310131,0.1163816831270616,0.011540513998581067,1.9878408961325555,0.02935274113166631
24,64,0.02212448120651607,0.10171339252927011,0.013475268468954358,1.9752473649328726,0.03124373137261512
48,8,0.01809817958148745,2.8124776613580647,0.009951896466697975,1.6716378247570218,0.033002950545196065
48,16,0.023149375288415205,0.15007088758751663,0.015628955180135493,2.15063884038183,0.03501671513931801
48,32,0.026880404153805118,0.17041404861107518,0.019742755685123792,3.2748541782181397,0.04290348787774857
48,64,0.029864096507086782,0.15370596616134338,0.020223790026061846,3.312203121968411,0.04589760329907989
96,8,0.017356158859709505,7.834148677840493,0.009969068035922915,1.6447017288583203,0.03326374647346734
96,16,0.020911577993295086,5.050238839085624,0.01581310022559874,2.809409263871045,0.04181321072512315
96,32,0.034309808642029316,1.5190691420748963,0.030127509520101153,4.447875873667817,0.0738553391820413
96,64,0.03557568622238616,0.27561555823364686,0.036655875998719605,5.432153463834716,0.07281999372733072
144,8,0.01736620533266482,13.06821544371838,0.008888070209777624,1.6637627103704369,0.03095594157273758
144,16,0.020845417789359822,9.273371691175747,0.01729582842462386,2.7885276479994,0.042684308090492895
144,32,0.027275738812642253,4.808909292553134,0.024171730050840088,4.6754486541490685,0.058942186631463465
144,64,0.040704605357225664,0.7619250963153956,0.05222364377714745,6.804862558033541,0.12045597452004081
192,8,0.017206489373351733,17.808037532904546,0.009238896046757252,1.6159214290595574,0.032833358409631364
192,16,0.02032276673647526,13.635178555165199,0.015761853958756455,2.788571984078807,0.042004276075636116
192,32,0.028754211280432006,8.311622629736435,0.023922413440908823,4.656370784556334,0.06123847492343074
192,64,0.038940604150092435,2.594259230322041,0.04622879956892903,7.715586061233099,0.12589099558772915
288,8,0.018138511775279045,27.497624972060123,0.009884467630793812,1.6295222165379588,0.03325859923914265
288,16,0.022057056396015302,19.86538753060756,0.01779072865169446,2.794855339431345,0.045820233591674954
288,32,0.03038392817840326,13.470777178537732,0.025582784936423113,4.658405119964085,0.06480352115628803
288,64,0.037730840094776515,7.215622817805007,0.04355939660353713,7.901799988751137,0.12499563785433865
