client,netrecv_mean,netrecv_std
2,4421451.530054645,183977.24183761302
8,10447588.661202185,253730.75293468323
16,10421857.983606556,232985.6537771677
32,10978448.409836067,46446.65345846456
48,11337436.530054644,64279.35754272849
64,11073749.715846995,298872.3349179071
80,11400626.158469945,556106.5898615395
