client,worker,ratio,sharded,queueLength,queueLength_std
12,64,1:1,true,1.5338265103442723,0.025692130895917955
12,64,1:1,false,1.5796947487871738,0.055262614721143
12,64,1:3,true,1.5240206659493944,0.008536935946605862
12,64,1:3,false,1.5178425961702955,0.03238403681450887
12,64,1:6,true,1.6178932128788583,0.01721144757710817
12,64,1:6,false,1.56553037720475,0.024824054154786637
12,64,1:9,true,1.603565561504257,0.014938934423257848
12,64,1:9,false,1.6402188319156876,0.01660217174995008
