client,netsend_mean,netsend_std
2,145188.34272300467,232.4366370244004
4,145856.42723004695,1372.6252349972556
8,148400.55399061032,521.1374664974791
16,148924.2910798122,907.4655480329076
24,156971.558685446,2232.0009708125194
32,164966.30985915495,2784.616028629345
40,168918.24882629106,2395.198239865913
48,177663.53990610328,5854.641377441077
56,188069.89201877933,10363.677045893
