client,netsend_mean,netsend_std
12,12548707.723004693,10269.19291774956
24,12533458.962441316,1708.8524941317132
48,12535477.03286385,12573.582136138284
96,12546047.389671361,5369.718439311403
144,13056058.23943662,15690.34834862075
192,13623857.633802816,23743.802215246124
240,14110742.821596244,13365.465065838302
288,14519179.699530518,7240.872430115628
336,15015124.812206574,101006.53871264175
