client,worker,netsend_mean,netsend_std
6,8,15188777.387978142,439682.993370925
6,16,15469575.497267758,78637.46788351958
6,32,15252870.786885247,358855.50137398124
6,64,15304089.087431693,181844.6011473615
24,8,28762003.743169397,426924.9738005634
24,16,29804246.792349726,473794.48797640466
24,32,28850962.327868853,645032.5511707282
24,64,28094911.355191257,537085.061112005
48,8,30815550.622950822,1010439.9188232976
48,16,35104779.016393445,985256.9500188761
48,32,33620065.89617486,320165.922051473
48,64,32070690.36612022,764715.7944479244
96,8,30275694.74863388,259437.65589248334
96,16,37043994.628415294,256988.37606322413
96,32,35828614.44262295,1669313.1376855432
96,64,33835465.17486339,1548752.6963208017
144,8,30645346.743169397,1572810.8839231024
144,16,38144562.81420765,692676.5088056618
144,32,37273619.7431694,1343590.91070167
144,64,33812523.344262294,1021940.7204001801
192,8,30520328.284153003,758351.900756335
192,16,38219423.81420765,1352886.5717645602
192,32,37848347.58469946,1431546.7463585406
192,64,33677957.45901639,1189871.3868836144
240,8,29933373.464480877,1036814.4079081668
240,16,38886968.75956284,845796.308468584
240,32,36939141.90163935,757842.1733685622
240,64,37054991.027322404,260717.48505313095
