client,worker,netrecv_mean,netrecv_std
6,8,13109766.032786885,45882.23807348314
6,16,12969585.19125683,220518.66187181746
6,32,13145199.114754098,7487.119448476463
6,64,13121429.234972678,16849.63286305877
24,8,13165053.945355192,7275.257018865775
24,16,13164055.710382514,7589.830688541945
24,32,13166896.885245902,16310.75013359644
24,64,13176590.398907105,8149.449857356794
48,8,13147329.765027322,3915.1212329402715
48,16,13167313.67213115,2187.5453386423587
48,32,13194455.792349728,21139.371752071278
48,64,13212339.644808745,22031.29368437936
96,8,13162845.98907104,7726.001958927087
96,16,13169989.131147541,20136.132330797733
96,32,13140936.989071036,4682.4816742640205
96,64,13214300.338797813,19525.5592454554
144,8,13170508.087431693,4938.5313545128265
144,16,13168549.32786885,20596.896172411474
144,32,13171298.69398907,2339.028533931387
144,64,13199981.18032787,13073.770051293814
192,8,13160713.80874317,6912.349386425497
192,16,13173555.245901639,13688.875267834997
192,32,13171043.311475411,9911.882743817569
192,64,13183409.18579235,18665.97860072906
240,8,13156901.644808741,11369.660884611734
240,16,13176997.229508197,8308.222571199205
240,32,13165534.715846995,19918.75308012571
240,64,13152485.661202185,11036.686773549518
