client,worker,netsend_mean,netsend_std
6,8,4788095.31693989,69826.35633428917
6,16,4926294.136612021,66954.22526840949
6,32,4824688.054644809,94263.78028893999
6,64,4942841.683060109,77683.99746148304
24,8,9447805.934426231,297828.2329111929
24,16,9572303.349726776,240224.14691452018
24,32,9441521.502732242,171376.55251986583
24,64,9029343.846994536,240593.8390665263
48,8,9927891.584699454,357261.30987387005
48,16,11398838.360655738,436621.1218641023
48,32,10978346.841530055,304151.7157981963
48,64,10560887.513661202,290997.7756984812
96,8,9761008.710382514,82469.42278391423
96,16,11952109.005464481,56641.52212605545
96,32,11678143.147540981,467659.4231614308
96,64,11176293.44262295,428566.0857562661
144,8,9870550.628415301,517054.65749596583
144,16,12376711.907103827,173916.531240911
144,32,11614618.295081967,993940.6569426985
144,64,11214740.459016392,596081.2302039281
192,8,10078394.55737705,524989.6856371762
192,16,12517780.573770491,486234.29976822337
192,32,12324967.62295082,378256.3230745859
192,64,10974658.983606556,335816.82823586767
240,8,9659437.666666666,337580.9573197117
240,16,12736674.530054644,66974.69563559022
240,32,12019535.475409836,477264.69472723134
240,64,12176602.464480875,224987.33264849332
