client,worker,netrecv_mean,netrecv_std
6,8,15651715.0,453073.0009910003
6,16,15940855.109289616,81216.16878355593
6,32,15717656.251366118,369645.75134300883
6,64,15762239.825136611,187461.07142918863
24,8,29640072.060109288,439667.5370104731
24,16,30715833.524590164,488125.92847365007
24,32,29734569.02185792,664342.6022928355
24,64,28951353.349726778,552292.9148934553
48,8,31756899.07650273,1039910.9333306096
48,16,36184770.3989071,1012770.9735102763
48,32,34646150.07650273,330149.0804923968
48,64,33048893.213114753,784200.0710304877
96,8,31201335.174863387,267232.6608800025
96,16,38222942.1420765,267192.158432982
96,32,36934573.56830601,1724099.3785861223
96,64,34860530.56284153,1593920.2718202688
144,8,31582129.229508195,1618423.6064908702
144,16,39395276.7704918,684118.4159726127
144,32,38454819.8852459,1394139.8031896169
144,64,34836133.14754098,1054784.941725727
192,8,31454083.07650273,781662.6490234286
192,16,39456783.93989071,1401263.6896297752
192,32,39075859.43169399,1504295.8919081187
192,64,34703541.8579235,1230909.044186736
240,8,30850309.136612024,1069508.3699740923
240,16,40205273.49180328,791112.8826641846
240,32,38144775.42622951,800225.3015213786
240,64,38144683.50273224,267540.42810369097
