client,worker,netsend_mean,netsend_std
6,8,12722908.404371584,44153.00389784669
6,16,12587843.431693988,212838.53479713242
6,32,12757286.114754098,7251.352226452346
6,64,12734303.628415301,16413.266010806394
24,8,12779355.934426228,12601.557005647966
24,16,12777917.355191255,11083.632962987742
24,32,12783326.49726776,14195.793734821636
24,64,12791035.043715844,9801.390163000106
48,8,12757711.459016392,3659.897454811176
48,16,12787780.87431694,6869.397875789847
48,32,12809512.213114753,19085.876032851902
48,64,12824342.486338796,21463.58403506876
96,8,12788763.568306012,3007.217910658386
96,16,12812526.098360656,21425.045805491816
96,32,12812792.63387978,5592.713120439891
96,64,12877487.229508197,15413.773252242509
144,8,12974493.349726776,4689.72136650414
144,16,12973663.333333334,20575.303796412656
144,32,12977324.540983608,1427.8111505781042
144,64,12995914.907103827,12789.453245246355
192,8,12964408.519125683,6808.825510264234
192,16,12979260.30601093,13551.034830670473
192,32,12996251.901639344,27807.7845169563
192,64,12984176.672131145,18252.6252478591
240,8,12960696.69398907,11652.175180299251
240,16,12986107.628415301,9280.734970614929
240,32,12976266.644808741,10894.327339159643
240,64,12960125.49180328,3434.5537662722136
