client,worker,cpu_mean,cpu_std
6,8,13.618081967213113,0.6987166448172617
6,16,13.901092896174864,0.16076255249903354
6,32,13.683060109289615,0.2380623780449689
6,64,15.377491803278687,0.3172069422310756
24,8,23.61568306010929,1.722991894522341
24,16,29.37402732240437,0.7732594192220595
24,32,26.860027322404374,1.3260854537077886
24,64,26.59762295081967,1.1711788015427846
48,8,24.325,0.8845411312144713
48,16,37.258841530054646,1.7439201233022552
48,32,35.454125683060106,1.0136446215779722
48,64,32.135360655737706,1.415156990926136
96,8,23.552918032786888,1.4968917854903296
96,16,38.46698360655737,1.6276529840526797
96,32,37.50407650273225,2.9561629223044594
96,64,34.37118579234973,2.4502891546476224
144,8,25.923213114754095,1.0192284314808078
144,16,40.406710382513666,1.905196478259134
144,32,39.010699453551915,2.733150248553296
144,64,33.41462295081967,1.1222248787526696
192,8,23.25210382513661,0.3990572722061877
192,16,47.68190710382513,13.01851293262934
192,32,39.40966666666666,2.5530148754528486
192,64,35.109677595628405,2.133084590737389
240,8,23.043688524590163,1.0670569225012072
240,16,38.95275409836066,1.155984220734956
240,32,40.928327868852456,0.9845450802071691
240,64,38.3316393442623,0.25045404544771677
