client,worker,write_rt_mean,write_rt_std,read_rt_mean,read_rt_std
6,8,1.7129629629629628,0.0490454004281239,2.0551666666666666,0.028614401105340217
6,16,1.6791296296296296,0.008380647574757616,2.5824629629629623,0.7591850139850848
6,32,1.7046851851851852,0.04003304533498372,2.034388888888889,0.0012933829696469324
6,64,1.6980925925925925,0.02157026671220527,2.039018518518519,0.004776772791230322
24,8,3.7410513054037646,0.19530298032114823,8.532988160291438,0.5297516327331689
24,16,3.4996162720097144,0.05019851122485262,8.388444444444445,0.32536724893980773
24,32,3.616296296296296,0.08911187694015307,8.427249241044322,0.22971450770994756
24,64,3.7035370370370373,0.07035673844571556,8.299851244687309,0.20980432242404834
48,8,6.7643700667881,0.2276198356727308,16.339277777777777,0.004631598832698622
48,16,5.932812386156648,0.16906483641658657,16.987727383120827,0.40249955784710434
48,32,6.1911836672738305,0.05826800028780247,16.407764116575596,0.133427656757065
48,64,6.493530661809351,0.15182547935696078,16.25946265938069,0.03008250189183389
96,8,13.756170309653918,0.10055673413580694,32.7807868852459,0.12751822404165586
96,16,11.240292653309046,0.08412258883148317,32.70056466302369,0.1006164852031465
96,32,11.642909532483303,0.5556466464993358,32.71202307225258,0.015351353150337612
96,64,12.343672434729811,0.5820412938770817,32.67655373406193,0.2053471820219339
144,8,20.456050091074683,1.13587800015661,48.965154826958106,0.017096423110877418
144,16,16.37457544509078,0.29858228969332334,48.978706739526416,0.09120100528804047
144,32,17.16869034608379,1.122999607403507,48.95823315118397,0.005683118490196559
144,64,18.60704310868245,0.4707251039691245,48.89347905282332,0.037597861090705516
192,8,27.701593806921675,0.5687180369109818,65.32312327398789,0.021965308733633636
192,16,22.131052764557257,0.9749215315734674,65.26586344673602,0.06638528694905375
192,32,22.063933388173997,0.839615683385212,65.92337945825254,0.9159660542767843
192,64,24.77494506140196,0.8618074041852954,65.25733474352195,0.08947882068956939
240,8,34.8247367647923,1.1708614796206416,81.70288706739528,0.0727658587585764
240,16,26.8922883615371,0.7530664856519124,81.59622657030377,0.05093925821135657
240,32,28.40257241906105,0.6251736505529372,82.04973647100299,0.6963716190362029
240,64,28.12969645139256,0.18549004717137532,82.20581115224162,0.6531083392867897
