client,worker,netrecv_mean,netrecv_std
6,8,440751.6612021858,1557.595128667512
6,16,436104.1420765027,7351.0425866710375
6,32,441967.56284153013,236.62258296197342
6,64,441690.1092896175,946.3665757312397
24,8,442766.48087431694,197.95231887261846
24,16,442682.6830601093,281.9152037220523
24,32,442817.2568306011,557.1315895283668
24,64,443186.68852459016,266.2302111084009
48,8,442162.9453551912,122.7984318538866
48,16,442787.737704918,94.4547353754482
48,32,443817.69945355196,688.8875672596236
48,64,444468.43715847,657.081932357439
96,8,442634.2896174863,287.31919290589144
96,16,442817.48087431694,661.794368470084
96,32,441921.52459016396,133.73162673388896
96,64,445027.81967213115,618.266395819753
144,8,442946.97814207646,280.50371768052264
144,16,442782.8961748634,727.6914575258835
144,32,442912.7322404371,78.54932169641023
144,64,444550.737704918,471.82798573554743
192,8,442547.24043715844,229.07910564883966
192,16,442936.98907103826,405.72696532306617
192,32,442887.0327868852,408.57969021183897
192,64,443955.59016393445,592.1020856837252
240,8,442504.3333333333,362.7985608074701
240,16,443082.19125683064,223.329559507169
240,32,442725.02185792354,719.7743413400821
240,64,443314.65027322405,419.04061568591425
