client,worker,netrecv_mean,netrecv_std
6,8,15160155.426229509,438233.9763042168
6,16,15439740.841530055,78231.47075166112
6,32,15223193.562841529,358917.4342842801
6,64,15278910.726775957,180861.04650994748
24,8,28713424.355191257,419309.94224453636
24,16,29747994.56830601,474384.8890739204
24,32,28799447.1147541,643270.9602951016
24,64,28048592.60655738,535166.3073061049
48,8,30759211.61748634,1010206.0876351707
48,16,35039121.579234965,980361.967145214
48,32,33559423.56284153,325889.1341141472
48,64,32012429.09289618,760373.4460200203
96,8,30220590.530054644,262367.91170675255
96,16,36975456.24043716,255108.69593009164
96,32,35759054.169398904,1663046.8168101327
96,64,33761459.207650274,1542806.5512990654
144,8,30592617.34426229,1576119.0342325582
144,16,38074571.295081966,694841.0911259209
144,32,37206203.31147541,1329582.9389277014
144,64,33744969.22404372,1017980.5411575055
192,8,30456923.87978142,755052.5097245878
192,16,38159883.83060109,1339424.9596197414
192,32,37766279.09289617,1426963.6124989395
192,64,33616295.21857923,1197380.3897446806
240,8,29885684.038251366,1042017.1136616257
240,16,38816983.44808743,847273.4586150942
240,32,36869815.80327869,755319.4197085338
240,64,36942483.46448088,252467.0770704892
