client,worker,netsend_mean,netsend_std
6,8,491911.5737704918,14200.293214707846
6,16,500981.1038251366,2534.769121267984
6,32,494009.6775956284,11610.728593216994
6,64,495528.24590163934,5835.043606274687
24,8,930380.7103825137,13569.96105686067
24,16,963884.8032786885,15346.60754003654
24,32,933156.0491803279,20815.73231110512
24,64,908810.393442623,17348.251879329393
48,8,996583.8469945355,32671.38661767381
48,16,1135063.5027322404,31732.442433222925
48,32,1087144.4972677596,10572.842499408758
48,64,1037027.43715847,24527.232838858577
96,8,979170.0273224044,8490.44650353072
96,16,1197708.7923497267,8266.314050886025
96,32,1158366.0655737706,53843.66245727407
96,64,1093622.7158469944,49907.29902466519
144,8,991198.655737705,50979.01511289578
144,16,1233259.0874316941,22492.845744398983
144,32,1205129.994535519,42991.132977719164
144,64,1093153.9289617485,32965.768108262215
192,8,986780.1693989071,24385.50999459264
192,16,1235973.442622951,43390.85182330266
192,32,1223279.8579234972,46146.48891654668
192,64,1089018.8142076505,38672.06901150296
240,8,968326.2732240437,33668.96872344559
240,16,1257254.0874316941,27426.505471654553
240,32,1194297.8032786886,24421.93753310191
240,64,1196649.0273224043,8139.668825619461
