client,netrecv_mean,netrecv_std
4,9135258.798122065,25278.37551709998
8,9645819.14084507,317526.6641279714
16,10002951.399061032,78966.38060965337
32,10394073.8685446,123638.44316068402
48,10554841.615023473,233975.0420253527
64,10672484.8685446,34615.21210599434
80,11599150.92488263,28973.451327571347
96,12545478.676056338,20503.690059545672
112,12392201.380281689,58767.74051956902
