client,netsend_mean,netsend_std
4,25004201.948356807,13407.633614480506
8,25025683.661971834,2266.4829072878424
16,25031178.431924883,6850.497525475717
32,25033895.51173709,18290.94316517424
48,25049699.478873238,4697.128499389939
64,25053188.539906103,17000.419397902533
80,25036748.89201878,20342.123961863643
96,25067855.366197184,27458.23215411592
112,25077760.58685446,29481.052198837377
