client,worker,rep,write_tp,read_tp
192,8,1,7634.74908535296,8788.297143974962
192,8,2,7700.885563380281,8789.781156156156
192,8,3,7535.116197183099,8797.26447574335
192,32,1,7861.486766696274,8793.291555640148
192,32,2,7865.5380556612945,8797.217167872097
192,32,3,7867.055555555555,8799.301554979636
