client,worker,rep,write_tp,read_tp
192,8,1,11624.988179074448,8792.839308070646
192,8,2,11718.586267605635,8683.527190923318
192,8,3,11394.86169796557,8792.201212832551
192,32,1,15620.515492957746,8790.045919964228
192,32,2,15607.525396825398,8792.732981220657
192,32,3,15443.683450704224,8796.492700648334
