client,netsend_mean,netsend_std
2,9119247.459016394,209062.8389702005
8,23252437.169398904,477900.393035931
16,23497927.060109288,208954.93599535056
32,24350500.25136612,525285.5790939411
48,24560966.513661206,192470.61507186454
64,24417406.256830603,487297.1748547933
80,24190374.508196723,367813.36723257013
