client,netsend_mean,netsend_std
2,315631.825136612,5802.487058295952
8,833960.7267759563,8392.329519956731
16,847581.5573770491,7841.594275325832
32,839789.136612022,5515.5544402825
48,857139.7923497269,19033.667475439117
64,864441.5300546448,12094.102192771648
80,859673.0765027324,4208.375280544285
