client,netrecv_mean,netrecv_std
2,9070672.371584699,167557.63116067907
8,24033161.131147545,242751.4432868116
16,24413016.513661202,227285.4776768442
32,24179874.191256832,157643.62212693863
48,24663583.497267764,560252.3049945508
64,24859224.087431695,328544.423349669
80,24725852.07650273,115020.81974284443
