client,netsend_mean,netsend_std
2,134145.00546448087,4963.762641441686
8,341749.81967213115,5036.444576702955
16,337854.64480874315,6294.42424935701
32,357809.0546448087,7894.686738064271
48,372435.0327868853,8378.195170498786
64,402871.0983606558,15577.736664199487
80,396088.6830601093,6852.6847689998685
