client,netrecv_mean,netrecv_std
2,4100349.2786885244,153485.75136117262
8,10515355.81420765,155681.44253769144
16,10393229.737704918,194411.24389729006
32,11000840.535519127,248911.3298900971
48,11444170.86338798,263609.1710951196
64,12382966.579234973,489012.47489844804
80,12166768.136612022,213841.23010719699
