client,worker,netrecv_mean,netrecv_std
6,8,4209787.2677595625,28813.7908749538
6,16,4193676.114754098,11101.817368706372
6,32,4192296.781420765,22782.25098924854
6,64,4182684.759562841,25378.93137525938
24,8,4305623.420765027,6503.513009677807
24,16,4343212.606557378,46085.95881648317
24,32,4321285.650273224,9663.437443806954
24,64,4302743.196721312,12741.65066367847
48,8,4307093.360655738,25290.030065593444
48,16,4332107.349726777,27118.83334824842
48,32,4307539.0,41814.89151178183
48,64,4313074.797814207,31312.63573553507
96,8,4312580.262295082,45862.28440530491
96,16,4376095.901639344,40368.20175693473
96,32,4340384.065573771,30722.107351644132
96,64,4359465.00546448,7668.402831974023
144,8,4388572.639344263,15508.275550424263
144,16,4245082.56284153,203008.39941663024
144,32,4397503.049180328,19630.06742870706
144,64,4378284.087431694,29681.983484443583
192,8,4320966.5245901635,8574.53109283393
192,16,4355227.75409836,6299.213381925561
192,32,4385797.934426229,8470.731092329423
192,64,4372336.907103824,6582.3074046969305
240,8,4337427.759562842,29713.748136731756
240,16,4343244.174863388,10873.907378884594
240,32,4268595.355191256,62999.94508955391
240,64,4308893.923497268,50860.330249724684
