client,worker,netrecv_mean,netrecv_std
6,8,13598350.579234973,19950.537400566896
6,16,13525507.393442623,155021.03759400424
6,32,13453706.44262295,75743.71724861044
6,64,13791797.972677596,174099.64617475084
24,8,35963568.03278688,72202.91867156705
24,16,36995464.475409836,28446.522717450884
24,32,36308744.92349727,330574.8012899049
24,64,35941748.09836066,246758.87224117716
48,8,40616361.8579235,295249.400832803
48,16,44606856.0,343195.80639476894
48,32,44131519.31693989,161449.9919187685
48,64,42982572.43715847,437454.79755157745
96,8,40679067.71038251,360312.97659974144
96,16,46135018.57923498,228334.23309746542
96,32,52688676.39344262,126605.18567074864
96,64,52336342.40983606,90178.34244717013
144,8,41226766.64480875,342940.6611726456
144,16,46267275.13114753,95862.77738515944
144,32,54482888.0546448,109168.6419696947
144,64,58881005.90163934,246923.19685390758
192,8,41687989.84699454,90405.1280631405
192,16,46105227.67213115,59933.56348461701
192,32,54196145.64480875,234876.88739113434
192,64,60685659.251366116,238910.37675269524
240,8,41172673.89071038,194718.3540618758
240,16,46745267.95628416,78623.73707182656
240,32,54406056.63387978,81112.44781405466
240,64,61214063.48087432,67600.18331950094
