client,worker,write_tp_mean,write_tp_std,read_tp_mean,read_tp_std
6,8,3148.75,4.456227436179917,2935.4277777777775,11.206581509800658
6,16,3132.7722222222224,35.19378189326383,2940.411111111111,0.8160806665526191
6,32,3112.283333333333,17.630576344017125,2942.9555555555557,2.4120197980475027
6,64,3168.15,40.50770159968201,2943.8222222222225,1.330854176649624
24,8,8326.405555555555,9.185751177305425,2949.383333333333,2.2928633239299137
24,16,8574.994444444445,6.372922077232389,2950.7166666666667,6.254790756484739
24,32,8414.322222222223,81.6243930648792,2952.761111111111,2.8615371851032827
24,64,8327.433333333332,55.12273846876835,2950.75,5.512074288592596
48,8,9406.65,65.98948148505693,2944.1277777777777,3.0037733471396355
48,16,10328.627777777778,81.83670770745277,2941.9166666666665,0.9687716544772509
48,32,10234.52777777778,33.42293605177383,2947.316666666667,2.9825417944357455
48,64,9946.738888888889,95.9259652152066,2949.161111111111,3.8088914819128474
96,8,9424.394444444444,85.04362968863197,2948.2722222222224,3.736514848073825
96,16,10689.044444444444,53.04629238507172,2946.988888888889,0.8494369958252795
96,32,12231.561111111112,8.954766301036011,2949.461111111111,1.096318192974354
96,64,12120.772222222222,11.67007357662974,2953.3444444444444,2.738015411764911
144,8,9544.472222222223,77.554110540502,2947.816666666667,1.1977602554893594
144,16,10718.761111111111,17.204485490349853,2950.7444444444445,1.5338364713970616
144,32,12626.327777777778,38.365542828731684,2947.116666666667,2.9718120173837166
144,64,13645.344444444445,52.66085821228397,2943.0611111111116,15.87049634765665
192,8,9656.638888888889,19.775875376669724,2948.522222222222,3.8397611165406946
192,16,10682.81111111111,15.111268381534389,2948.5055555555555,3.6595975627093673
192,32,12556.261111111111,57.85987596697386,2953.1388888888887,1.4444230767650166
192,64,14056.655555555559,61.28279369014719,2938.094444444445,5.899173409349833
240,8,9532.294444444444,45.06035938221419,2947.316666666667,0.4696334267866929
240,16,10822.938888888888,23.50912483733241,2948.7055555555557,4.292140390970807
240,32,12598.044444444444,17.070292221962973,2984.1055555555554,54.02470342581179
240,64,14185.449999999999,14.899683068962933,2939.15,5.006680721980725
