client,worker,netrecv_mean,netrecv_std
6,8,146940.90163934426,1799.612937621043
6,16,148217.02732240438,1349.2212906245798
6,32,144697.98907103823,4509.086025377816
6,64,148264.1530054645,1346.7893147961279
24,8,404530.4644808743,2816.912175691682
24,16,411696.0655737705,4405.33440785213
24,32,393814.35519125685,8952.1788696428
24,64,394284.69945355196,2001.9404051789143
48,8,446759.7923497267,2401.1014638288507
48,16,493891.2786885246,3858.2368343164894
48,32,493265.15846994537,6453.783626994638
48,64,459511.781420765,45656.41507713326
96,8,447214.45901639346,1792.6790786298677
96,16,510072.92896174866,5373.088780901389
96,32,575743.912568306,4718.526171002146
96,64,578240.4863387978,661.2926326161355
144,8,449254.6065573771,4009.5812435283933
144,16,504131.9344262295,1268.8854691347058
144,32,592642.6229508197,3702.1614207331872
144,64,640595.6939890711,2225.53093723305
192,8,452396.30601092894,1194.137322678972
192,16,481436.07650273223,34273.220671673575
192,32,580083.0710382514,20335.853253380184
192,64,627978.4590163935,49536.78825412928
240,8,432615.0601092896,17886.91441462335
240,16,490217.9344262295,24720.15849919632
240,32,589610.4918032787,1959.960239236769
240,64,665467.9836065574,1115.5992150890636
