client,worker,write_tp_mean,write_tp_std,read_tp_mean,read_tp_std
6,8,3136.9388888888884,4.4181513926525176,2922.6692167577407,13.662682266513654
6,16,3119.722222222222,37.150550400521794,2928.027777777778,0.6800508332488511
6,32,3100.1659380692167,17.477726683509303,2928.616666666667,1.2845953390795768
6,64,3155.172222222222,41.1585469575192,2930.747723132969,1.5156183603631523
24,8,8304.39230272049,12.031669935615554,2936.0122950819673,1.5505088863476364
24,16,8542.2,6.088300863739291,2936.6183970856096,3.955393774742611
24,32,8382.555555555557,75.72872679326078,2936.656921675774,1.9365730671664927
24,64,8297.536338797814,56.57653930328513,2938.228415300547,3.614797983286496
48,8,9378.896174863388,66.98283089609815,2930.865300546448,2.122874524208426
48,16,10302.693533697631,79.93066066731187,2928.806648451731,0.40110240885790704
48,32,10198.255555555557,34.125089426916325,2932.18897996357,2.3550785976431796
48,64,9918.393806921677,100.73915013523234,2933.819763205829,4.6800319722324595
96,8,9391.766666666666,81.3661527256276,2936.1525500910743,2.358522575776864
96,16,10653.142622950818,55.81615478612831,2934.4789617486344,2.3843683665887636
96,32,12170.560643388593,25.377091190255815,2936.1414389799634,0.5518703807812705
96,64,12087.851912568303,20.31176199658296,2941.4921675774135,0.6968816677969284
144,8,9517.884153005465,77.19138900385975,2935.0887978142077,2.429883169730573
144,16,10691.608561020037,19.88379542416527,2936.6770491803277,1.4852093774954873
144,32,12581.593989071038,26.34979574576683,2933.9894353369764,2.570116066942389
144,64,13602.770218579235,62.022131946547816,2931.6685792349726,2.470664246897236
192,8,9626.08752276867,23.004197821449605,2932.8196721311474,2.0408793617901577
192,16,10644.533515482695,17.805962584456044,2935.143533697632,1.3582491891589894
192,32,12515.983242258653,52.4623853437493,2937.91174863388,2.593799441900904
192,64,14014.650273224042,54.70116801865616,2933.0647540983605,0.9316714738558111
240,8,9504.771129326049,45.80576619427845,2932.4597449908924,2.319567766583448
240,16,10793.548907103826,25.34243150709944,2933.2021857923496,2.4724707820403165
240,32,12567.270036429873,15.406630091151252,2940.6788295434512,8.248091635987373
240,64,14141.995992714024,13.159972902530777,2931.928961748634,2.557388725394723
