client,worker,netsend_mean,netsend_std
6,8,4346050.852459016,53984.55571967478
6,16,4384454.027322404,40350.63069278404
6,32,4278756.524590164,135482.64344146708
6,64,4385979.262295082,40403.75485105484
24,8,12065582.770491803,84386.45924212273
24,16,12280195.158469945,132076.83488325524
24,32,11743702.393442623,268894.5577640194
24,64,11758028.748633882,60311.317160503706
48,8,13331078.131147541,71957.21542360791
48,16,14743346.737704918,115599.25203893567
48,32,14724412.759562843,193476.69701212912
48,64,13710721.38251366,1371794.252045735
96,8,13344853.437158471,53648.96862228852
96,16,15228533.273224043,160978.06044941378
96,32,17196975.896174863,141762.95611528168
96,64,17272362.409836065,19506.04311467041
144,8,13405822.344262296,120156.17768479035
144,16,15050228.901639344,38215.02279144925
144,32,17704195.63934426,110440.72678800186
144,64,19154121.69398907,64887.42552236439
192,8,13499937.715846995,35802.644267226584
192,16,14086265.158469945,1426723.471004875
192,32,17324093.907103825,616222.0555513321
192,64,18786546.661202185,1504825.2057298569
240,8,12898592.628415301,548256.0674423889
240,16,14622348.158469945,756389.094357308
240,32,17603159.87978142,65506.486375048305
240,64,19919286.043715846,16937.99551830583
