client,worker,write_rt_mean,write_rt_std,read_rt_mean,read_rt_std
6,8,1.9110277777777778,0.0024928911273537045,2.0571202185792345,0.03081296152142585
6,16,1.9234722222222222,0.024212823099943145,2.0389166666666667,0.0008280697968634659
6,32,1.9995956284153005,0.04216312911010585,2.0380555555555553,0.0010474837574982177
6,64,2.0146574074074075,0.181080408573094,2.0369782938676377,0.0013045741740625436
24,8,2.9489386176234405,0.019353365172705375,8.154674711596842,0.004247937248323046
24,16,2.844324074074074,0.030510542040137315,8.245727838494233,0.13956434593728795
24,32,2.8943703703703707,0.04572636413743283,8.154710686095932,0.005198872123107164
24,64,2.908460837887068,0.020906766487842055,8.147487856709168,0.010446971421005948
48,8,5.1590286885245895,0.05475462390464197,16.3911496660595,0.05583003637775792
48,16,4.661371584699453,0.03698270088497115,16.516346083788704,0.17300184842481056
48,32,4.748564814814816,0.04036766045950565,16.3699241044323,0.036887282197220594
48,64,5.43465634486946,0.7407483384340234,16.378314207650273,0.0874657055032715
96,8,10.351559502125077,0.14498981246257278,32.775354280510015,0.17798933357857924
96,16,9.084477383120825,0.0696541139804262,32.84519505160898,0.17996273098187648
96,32,7.8910117367993164,0.016169017656728287,32.66289071038251,0.01583862500039773
96,64,7.945196114146934,0.014518289733412177,32.70051259866424,0.02616695209260061
144,8,15.179282938676382,0.12805464943161973,49.59688251366121,0.042281352230903006
144,16,13.484977383120826,0.03539458073806505,50.75559669095326,2.3413339156929633
144,32,11.45395522161506,0.03045635462505623,49.09605130540377,0.11509531508874697
144,64,10.601906800242865,0.05466432962691487,49.26035185185185,0.039282740966636025
192,8,19.99351350941105,0.03876864042484178,65.36004553734061,0.05037027010322254
192,16,18.795047965998787,0.9885095522641576,65.3714626593807,0.09040875261258151
192,32,15.949680935033394,0.8721596268315256,65.31215573770491,0.05145185182699308
192,64,14.246657255616272,0.7795516217763433,65.52689329083182,0.04310165801789172
240,8,25.696950212507588,0.48725229455064334,81.88609198542805,0.3017548272931323
240,16,23.060755919854284,1.1923875175404655,81.85288706739526,0.10428074307369468
240,32,19.103720097146326,0.01501470359557311,82.98382117045655,1.1113841260243575
240,64,16.98368047965999,0.019502370835867703,83.21348816029145,1.7147603035497518
