client,worker,netrecv_mean,netrecv_std
6,8,6710414.978142076,17860.885650008924
6,16,6731610.989071039,35032.75745794869
6,32,6711636.825136612,3191.2880377714464
6,64,6734419.420765027,30676.714529250472
24,8,6616472.43169399,17726.739158342625
24,16,6489387.420765027,79511.58362957698
24,32,6496063.092896175,29890.922826970156
24,64,6536513.819672131,22076.12068929144
48,8,6544806.098360655,39587.52211323698
48,16,6499153.234972678,16132.949643270418
48,32,6512300.032786884,9954.795673790928
48,64,6512672.459016393,12674.86369487238
96,8,6512013.907103824,12268.68140907528
96,16,6299198.715846994,55834.37581599769
96,32,6538998.852459016,9516.04431390534
96,64,6546512.978142076,20280.209233774785
144,8,6576097.666666667,66245.13005990956
144,16,6355725.327868853,31941.498228168868
144,32,6452980.153005465,16031.066008823713
144,64,6502242.524590164,24460.308545399545
192,8,6624747.737704918,42098.31150483802
192,16,6424466.360655737,95468.60029994043
192,32,6500754.989071038,37007.18356815954
192,64,6495181.087431694,48629.10052256089
240,8,6510562.803278688,92298.60846637422
240,16,6397364.546448088,85105.81557379782
240,32,6469657.131147541,35256.85874781257
240,64,6442229.081967213,41311.83018841318
