client,worker,netsend_mean,netsend_std
6,8,441405.737704918,643.6472916633605
6,16,439040.0382513662,5007.31246112829
6,32,436500.9726775956,2455.3201489849093
6,64,443973.95628415304,5751.129200244597
24,8,1164929.5737704916,2329.8424246951668
24,16,1198346.699453552,930.5616525627867
24,32,1176134.1639344261,10723.554835966735
24,64,1163767.6830601094,7999.531874207099
48,8,1315487.1803278688,9563.288641525807
48,16,1444544.693989071,11106.319308208787
48,32,1429178.9344262294,5178.156819098696
48,64,1391806.7540983607,14174.185930994916
96,8,1317498.218579235,11650.7393139935
96,16,1494019.7213114754,7396.5242697347885
96,32,1706024.4972677594,4119.306739971699
96,64,1694618.7650273226,2922.143525670098
144,8,1335203.8524590163,11071.761639125145
144,16,1498355.5191256832,3105.7093791160028
144,32,1764065.6721311475,3616.1934333020727
144,64,1906306.4590163936,7913.205674828487
192,8,1350164.1475409835,2931.116042146822
192,16,1493191.8961748637,1854.7208534212882
192,32,1755025.819672131,7652.038937201232
192,64,1964783.7103825137,7878.241686597388
240,8,1333497.3278688525,6326.818154466584
240,16,1513760.31147541,2527.1366712316517
240,32,1761623.4153005464,2564.338170534247
240,64,1981830.2896174863,2241.2240168426592
