client,worker,netsend_mean,netsend_std
6,8,7044578.546448088,58544.880326602586
6,16,7019947.191256831,120421.37108325907
6,32,7027520.693989071,53460.496374384755
6,64,7175394.513661202,99243.76288359502
24,8,18792732.453551915,298314.10437821795
24,16,19797121.99453552,115647.56130769041
24,32,19400028.38797814,220310.658776861
24,64,19312519.93442623,167007.30079173646
48,8,21444432.693989072,10545.75222300331
48,16,22774082.185792346,244077.70743541664
48,32,22566208.31693989,38272.1932116262
48,64,22129486.715846997,430236.9599290755
96,8,21354287.306010928,133547.71550943828
96,16,23797108.087431695,192383.93253207143
96,32,26276994.24590164,137110.52634675388
96,64,26259845.672131147,143127.49054779232
144,8,21592549.38251366,187622.1274707181
144,16,23794228.863387976,59503.82665630227
144,32,27799183.333333332,210139.10816079093
144,64,29124418.519125685,306790.496025811
192,8,21848645.24043716,126315.8937574761
192,16,23753265.25136612,106109.74035472676
192,32,27811449.153005466,183959.27855000048
192,64,29916536.814207654,401819.60822635243
240,8,21578172.765027326,208677.2881588012
240,16,24016651.38251366,31693.192588406455
240,32,27872365.95628415,159547.36765692645
240,64,30871757.51912568,331026.1091149438
