client,worker,netrecv_mean,netrecv_std
6,8,441183.7431693989,1718.5446222895207
6,16,441697.25136612024,85.66382876350242
6,32,441794.08196721313,206.57687435084887
6,64,442085.48087431694,203.63796134774003
24,8,442949.912568306,239.36936627584518
24,16,443065.24043715844,546.081987363241
24,32,443140.92896174866,267.0755106266474
24,64,443359.2732240437,566.0506601675145
48,8,442109.71038251364,377.9380789173186
48,16,441884.3278688525,62.352709899263196
48,32,442753.48087431694,344.0765508109364
48,64,448211.9656386033,7601.10979983056
96,8,442926.1639344262,261.8812914347843
96,16,442927.3989071038,446.8145216504802
96,32,443756.4426229508,190.3144246250726
96,64,444725.2240437159,86.66298443793443
144,8,442763.4972677596,420.0735659740241
144,16,443194.9016393442,199.10099254290606
144,32,443383.5136612022,410.16288200632783
144,64,456501.2021857924,606.6964883060878
192,8,442498.84699453553,364.52784542619423
192,16,442888.34972677595,266.08420263234876
192,32,444122.1693989071,409.151996167228
192,64,458379.27322404366,695.3814331097838
240,8,442463.04918032786,330.02960893718654
240,16,442648.19125683064,369.0771668495887
240,32,443801.2568306011,270.2642594285394
240,64,457731.44262295077,722.5565782546078
